,index,wid,option,choice,rt,correct,trial_number,game,phase,multi_time,multi_dim,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value,dim_shown,expected_dim
207,611,w117e095,Blue,1.0,2043.0,1,2,9,choice,Before,Animal,2,1,-1.0,1,1,1,1,-2.0,Animal,False
208,649,we58a710,Scene,1.0,1676.0,1,1,9,choice,After,Scene,3,1,1.0,6,6,3,3,1.0,None,False
209,650,we58a710,Yellow,0.0,1617.0,1,2,9,choice,After,Scene,2,-3,-3.0,6,6,2,2,-3.0,None,False
210,651,we58a710,Blue,1.0,1997.0,1,3,9,choice,After,Scene,1,1,1.0,6,6,1,1,1.0,None,False
211,652,we58a710,Object,1.0,1168.0,1,4,9,choice,After,Scene,1,2,2.0,6,6,1,1,2.0,None,False
212,653,we58a710,Red,1.0,2033.0,1,5,9,choice,After,Scene,3,2,2.0,6,6,3,3,2.0,None,False
213,654,we58a710,Animal,0.0,1018.0,1,6,9,choice,After,Scene,2,-3,-3.0,6,6,2,2,-3.0,None,False
214,663,w53b40c8,Blue,0.0,2796.0,1,1,9,choice,After,Blue,2,-4,0.0,3,3,1,1,0.0,None,False
215,664,w53b40c8,Green,1.0,3386.0,1,2,9,choice,After,Blue,3,3,0.0,3,3,1,1,0.0,None,False
216,665,w53b40c8,Yellow,1.0,4171.0,0,3,9,choice,After,Blue,1,-1,0.0,3,3,1,1,0.0,None,False
217,666,w53b40c8,Object,1.0,1379.0,0,4,9,choice,After,Blue,2,-1,0.0,3,3,1,1,0.0,None,False
218,668,w53b40c8,Scene,0.0,572.0,1,6,9,choice,After,Blue,3,-2,0.0,3,3,2,2,0.0,None,False
219,677,wc0a4260,Object,1.0,1915.0,0,2,9,choice,After,Red,1,-1,-2.0,1,1,1,2,-2.0,None,False
220,678,wc0a4260,Yellow,0.0,1468.0,1,3,9,choice,After,Red,3,-2,-4.0,1,1,1,1,-2.0,None,False
221,706,w6dd030e,Scene,1.0,3358.0,0,1,9,choice,After,Scene,3,-3,-2.0,4,4,3,3,-2.0,None,False
222,707,w6dd030e,Blue,1.0,3823.0,1,2,9,choice,After,Scene,2,3,2.0,4,4,1,1,1.0,None,False
223,709,w6dd030e,Object,0.0,3016.0,1,4,9,choice,After,Scene,1,-1,-1.0,4,4,1,2,-1.0,None,False
224,710,w6dd030e,Red,0.0,3255.0,1,5,9,choice,After,Scene,3,-2,-2.0,4,4,2,2,-3.0,None,False
225,711,w6dd030e,Yellow,0.0,4293.0,1,6,9,choice,After,Scene,1,-2,-1.0,4,4,1,2,-1.0,None,False
226,728,wd0724cf,Scene,0.0,3277.0,1,1,9,choice,After,Scene,1,-1,-2.0,5,5,1,1,-2.0,None,False
227,729,wd0724cf,Animal,1.0,2607.0,1,2,9,choice,After,Scene,2,1,0.0,5,5,2,2,0.0,None,False
228,730,wd0724cf,Red,0.0,4333.0,1,3,9,choice,After,Scene,3,-1,-6.0,5,5,2,2,-4.0,None,False
229,731,wd0724cf,Food,0.0,3244.0,0,4,9,choice,After,Scene,3,1,-2.0,5,5,2,2,0.0,None,False
230,732,wd0724cf,Yellow,1.0,1499.0,1,5,9,choice,After,Scene,2,4,4.0,5,5,2,3,4.0,None,False
231,733,wd0724cf,Blue,0.0,2424.0,1,6,9,choice,After,Scene,1,-2,-2.0,5,5,1,1,-2.0,None,False
232,742,w29ed098,Animal,1.0,5031.0,1,1,9,choice,After,Animal,1,2,-1.0,4,4,1,1,-1.0,None,False
233,743,w29ed098,Object,0.0,3655.0,1,2,9,choice,After,Animal,2,-3,0.0,4,4,2,3,0.0,None,False
234,744,w29ed098,Red,1.0,2086.0,0,3,9,choice,After,Animal,3,-1,-5.0,4,4,2,2,-3.0,None,False
235,745,w29ed098,Food,1.0,867.0,1,4,9,choice,After,Animal,3,2,2.0,4,4,1,1,2.0,None,False
236,747,w29ed098,Yellow,1.0,1714.0,1,6,9,choice,After,Animal,2,1,4.0,4,4,2,2,4.0,None,False
237,756,w3327d2a,Animal,1.0,2406.0,0,1,9,choice,After,Animal,1,-1,2.0,1,1,1,3,2.0,None,False
238,759,w3327d2a,Red,0.0,1187.0,1,4,9,choice,After,Animal,3,-1,1.0,1,1,1,1,2.0,None,False
239,770,w5685230,Food,1.0,1261.0,1,1,9,choice,Before,Food,3,1,1.0,4,4,2,2,0.0,Food,True
240,771,w5685230,Blue,0.0,4804.0,1,2,9,choice,Before,Food,3,-1,-4.0,4,4,2,2,-3.0,Food,False
241,773,w5685230,Animal,0.0,4515.0,1,4,9,choice,Before,Food,2,-1,1.0,4,4,1,1,2.0,Food,False
242,774,w5685230,Scene,1.0,4808.0,0,5,9,choice,Before,Food,1,-1,-2.0,4,4,1,2,-2.0,Food,False
243,775,w5685230,Red,1.0,3620.0,0,6,9,choice,Before,Food,2,-1,3.0,4,4,2,3,3.0,Food,False
244,784,w30e05e4,Food,0.0,4780.0,1,1,9,choice,After,Food,3,-3,0.0,5,5,1,1,1.0,None,False
245,786,w30e05e4,Scene,0.0,4324.0,1,3,9,choice,After,Food,1,-2,-2.0,5,5,1,1,-2.0,None,False
246,787,w30e05e4,Red,1.0,2425.0,1,4,9,choice,After,Food,2,3,-1.0,5,5,2,2,-3.0,None,False
247,788,w30e05e4,Blue,1.0,4459.0,0,5,9,choice,After,Food,3,-2,-6.0,5,5,2,2,-4.0,None,False
248,789,w30e05e4,Animal,0.0,4409.0,0,6,9,choice,After,Food,2,4,-4.0,5,5,2,2,-6.0,None,False
249,799,wbe9243a,Yellow,0.0,4261.0,0,1,9,choice,After,Yellow,3,1,1.0,6,6,3,3,1.0,None,False
250,800,wbe9243a,Blue,1.0,3264.0,1,2,9,choice,After,Yellow,2,1,1.0,6,6,2,2,1.0,None,False
251,801,wbe9243a,Object,1.0,3786.0,1,3,9,choice,After,Yellow,1,1,1.0,6,6,1,1,1.0,None,False
252,802,wbe9243a,Scene,0.0,3711.0,1,4,9,choice,After,Yellow,2,-2,-2.0,6,6,2,2,-2.0,None,False
253,803,wbe9243a,Animal,1.0,4922.0,1,5,9,choice,After,Yellow,3,2,2.0,6,6,3,3,2.0,None,False
254,804,wbe9243a,Red,0.0,4807.0,1,6,9,choice,After,Yellow,1,-1,-1.0,6,6,1,1,-1.0,None,False
255,817,w0ef0b67,Green,0.0,2026.0,0,2,9,choice,After,Red,3,2,-3.0,3,3,2,2,-2.0,None,False
256,818,w0ef0b67,Object,0.0,3480.0,0,3,9,choice,After,Red,3,3,-3.0,3,3,2,2,-2.0,None,False
257,820,w0ef0b67,Yellow,0.0,654.0,0,5,9,choice,After,Red,1,2,-1.0,3,3,1,1,-1.0,None,False
258,821,w0ef0b67,Animal,1.0,797.0,1,6,9,choice,After,Red,1,1,-1.0,3,3,1,1,-1.0,None,False
259,831,wea8ef8e,Scene,1.0,2614.0,1,2,9,choice,Before,Green,3,2,-1.0,2,2,2,2,-2.0,Green,False
260,832,wea8ef8e,Blue,1.0,2691.0,0,3,9,choice,Before,Green,3,-2,-3.0,2,2,1,2,-1.0,Green,False
261,834,wea8ef8e,Yellow,0.0,2492.0,0,5,9,choice,Before,Green,2,3,-3.0,2,2,1,2,-1.0,Green,False
262,849,we38f335,Food,0.0,3577.0,1,1,9,choice,Before,Food,1,-2,-2.0,6,6,1,1,-2.0,Food,True
263,850,we38f335,Blue,0.0,1659.0,1,2,9,choice,Before,Food,2,-4,2.0,6,6,2,2,2.0,Food,False
264,851,we38f335,Object,0.0,1455.0,1,3,9,choice,Before,Food,2,-1,2.0,6,6,2,2,2.0,Food,False
265,852,we38f335,Green,1.0,1826.0,1,4,9,choice,Before,Food,3,1,-2.0,6,6,3,3,-2.0,Food,False
266,853,we38f335,Yellow,1.0,626.0,1,5,9,choice,Before,Food,1,2,-1.0,6,6,1,1,-1.0,Food,False
267,854,we38f335,Scene,0.0,3166.0,0,6,9,choice,Before,Food,3,2,-1.0,6,6,3,3,-1.0,Food,False
268,863,wc6f0e84,Scene,1.0,1195.0,1,1,9,choice,Before,Scene,1,1,1.0,4,4,1,1,1.0,Scene,True
269,865,wc6f0e84,Food,1.0,2331.0,0,3,9,choice,Before,Scene,3,-2,-3.0,4,4,2,2,-1.0,Scene,False
270,866,wc6f0e84,Blue,0.0,2022.0,0,4,9,choice,Before,Scene,2,3,3.0,4,4,2,2,3.0,Scene,False
271,867,wc6f0e84,Object,0.0,1834.0,0,5,9,choice,Before,Scene,2,1,0.0,4,4,1,1,2.0,Scene,False
272,868,wc6f0e84,Green,1.0,1500.0,0,6,9,choice,Before,Scene,3,-1,-3.0,4,4,2,2,-1.0,Scene,False
273,877,wab226bf,Scene,1.0,1980.0,1,1,9,choice,After,Scene,3,5,-1.0,5,5,3,3,-1.0,None,False
274,879,wab226bf,Animal,0.0,891.0,1,3,9,choice,After,Scene,2,-4,1.0,5,5,2,2,1.0,None,False
275,880,wab226bf,Yellow,1.0,3518.0,0,4,9,choice,After,Scene,2,-1,1.0,5,5,2,3,1.0,None,False
276,881,wab226bf,Blue,1.0,1067.0,1,5,9,choice,After,Scene,1,2,2.0,5,5,1,1,2.0,None,False
277,882,wab226bf,Red,0.0,1946.0,1,6,9,choice,After,Scene,3,-2,-4.0,5,5,2,2,-3.0,None,False
278,890,w2a7296e,Animal,1.0,1701.0,1,1,9,choice,After,Animal,3,1,5.0,2,2,2,3,3.0,None,False
279,894,w2a7296e,Green,1.0,583.0,1,5,9,choice,After,Animal,3,2,4.0,2,2,1,1,1.0,None,False
280,895,w2a7296e,Red,0.0,1235.0,1,6,9,choice,After,Animal,2,-1,0.0,2,2,1,2,2.0,None,False
281,904,w1629b0b,Object,1.0,5015.0,1,1,9,choice,After,Object,3,2,0.0,3,3,1,1,0.0,None,False
282,906,w1629b0b,Red,1.0,1021.0,1,3,9,choice,After,Object,3,2,0.0,3,3,1,1,0.0,None,False
283,907,w1629b0b,Green,0.0,752.0,1,4,9,choice,After,Object,2,-1,0.0,3,3,2,2,0.0,None,False
284,908,w1629b0b,Animal,0.0,1342.0,1,5,9,choice,After,Object,2,-3,0.0,3,3,1,1,0.0,None,False
285,909,w1629b0b,Scene,1.0,4591.0,1,6,9,choice,After,Object,1,1,0.0,3,3,1,1,0.0,None,False
286,918,w580c449,Yellow,1.0,4055.0,1,1,9,choice,After,Yellow,3,1,5.0,2,2,1,1,1.0,None,False
287,919,w580c449,Scene,0.0,4372.0,0,2,9,choice,After,Yellow,1,1,1.0,2,2,1,1,1.0,None,False
288,921,w580c449,Green,0.0,937.0,1,4,9,choice,After,Yellow,1,-1,-1.0,2,2,1,1,-1.0,None,False
289,923,w580c449,Food,0.0,1507.0,1,6,9,choice,After,Yellow,3,-1,0.0,2,2,1,1,-1.0,None,False
290,932,w768a02c,Yellow,0.0,2139.0,1,1,9,choice,Before,Yellow,3,-1,-2.0,4,4,2,3,-3.0,Yellow,True
291,933,w768a02c,Scene,1.0,2292.0,1,2,9,choice,Before,Yellow,2,3,3.0,4,4,1,1,2.0,Yellow,False
292,934,w768a02c,Object,0.0,2583.0,1,3,9,choice,Before,Yellow,1,-1,-1.0,4,4,1,1,-1.0,Yellow,False
293,935,w768a02c,Red,1.0,1868.0,0,4,9,choice,Before,Yellow,1,-1,-1.0,4,4,1,1,-1.0,Yellow,False
294,936,w768a02c,Animal,1.0,1279.0,0,5,9,choice,Before,Yellow,3,-1,-4.0,4,4,2,2,-3.0,Yellow,False
295,937,w768a02c,Blue,0.0,1633.0,0,6,9,choice,Before,Yellow,2,3,1.0,4,4,1,2,2.0,Yellow,False
296,945,w308aa07,Object,1.0,3771.0,0,1,9,choice,Before,Object,2,-1,-1.0,6,6,2,2,-1.0,Object,True
297,946,w308aa07,Animal,1.0,1764.0,1,2,9,choice,Before,Object,1,2,2.0,6,6,1,1,2.0,Object,False
298,947,w308aa07,Yellow,0.0,2558.0,1,3,9,choice,Before,Object,2,-3,-3.0,6,6,2,2,-3.0,Object,False
299,948,w308aa07,Food,0.0,3895.0,1,4,9,choice,Before,Object,3,-1,-1.0,6,6,3,3,-1.0,Object,False
300,949,w308aa07,Red,1.0,1002.0,1,5,9,choice,Before,Object,3,5,5.0,6,6,3,3,5.0,Object,False
301,950,w308aa07,Green,0.0,2629.0,1,6,9,choice,Before,Object,1,-2,-2.0,6,6,1,1,-2.0,Object,False
302,959,w365c8db,Green,1.0,2003.0,1,1,9,choice,After,Green,3,1,-1.0,6,6,3,3,-1.0,None,False
303,960,w365c8db,Scene,1.0,3056.0,1,2,9,choice,After,Green,2,3,1.0,6,6,2,2,1.0,None,False
304,961,w365c8db,Blue,1.0,2434.0,0,3,9,choice,After,Green,1,-1,1.0,6,6,1,1,1.0,None,False
305,962,w365c8db,Food,0.0,1927.0,1,4,9,choice,After,Green,3,-1,1.0,6,6,3,3,1.0,None,False
306,963,w365c8db,Animal,0.0,2117.0,1,5,9,choice,After,Green,1,-1,-1.0,6,6,1,1,-1.0,None,False
307,964,w365c8db,Red,1.0,2894.0,1,6,9,choice,After,Green,2,1,1.0,6,6,2,2,1.0,None,False
308,973,w737e6e4,Green,1.0,1826.0,1,1,9,choice,After,Green,2,2,-3.0,3,3,1,1,-1.0,None,False
309,974,w737e6e4,Red,1.0,2687.0,0,2,9,choice,After,Green,3,-1,1.0,3,3,1,1,1.0,None,False
310,975,w737e6e4,Blue,0.0,989.0,1,3,9,choice,After,Green,1,-2,-2.0,3,3,1,1,-2.0,None,False
311,976,w737e6e4,Object,0.0,2191.0,0,4,9,choice,After,Green,3,1,-3.0,3,3,2,2,-1.0,None,False
312,978,w737e6e4,Animal,1.0,1855.0,0,6,9,choice,After,Green,2,-1,0.0,3,3,1,1,-1.0,None,False
313,987,wc097323,Scene,1.0,5804.0,1,1,9,choice,After,Scene,1,1,1.0,6,6,1,1,1.0,None,False
314,988,wc097323,Blue,1.0,4388.0,1,2,9,choice,After,Scene,1,2,2.0,6,6,1,1,2.0,None,False
315,989,wc097323,Food,1.0,4429.0,1,3,9,choice,After,Scene,3,3,3.0,6,6,3,3,3.0,None,False
316,990,wc097323,Green,0.0,4901.0,1,4,9,choice,After,Scene,3,-1,-1.0,6,6,3,3,-1.0,None,False
317,991,wc097323,Yellow,1.0,6122.0,1,5,9,choice,After,Scene,2,1,-1.0,6,6,2,2,-1.0,None,False
318,992,wc097323,Animal,0.0,3901.0,1,6,9,choice,After,Scene,2,-2,-4.0,6,6,2,2,-4.0,None,False
319,1001,w35dbe71,Animal,1.0,5074.0,1,1,9,choice,Before,Animal,3,2,3.0,6,6,3,3,3.0,Animal,True
320,1002,w35dbe71,Food,1.0,4272.0,1,2,9,choice,Before,Animal,1,2,2.0,6,6,1,1,2.0,Animal,False
321,1003,w35dbe71,Object,0.0,3237.0,1,3,9,choice,Before,Animal,2,-4,-4.0,6,6,2,2,-4.0,Animal,False
322,1004,w35dbe71,Red,1.0,3526.0,1,4,9,choice,Before,Animal,3,2,2.0,6,6,3,3,2.0,Animal,False
323,1005,w35dbe71,Green,0.0,3230.0,0,5,9,choice,Before,Animal,1,1,2.0,6,6,1,1,2.0,Animal,False
324,1006,w35dbe71,Blue,0.0,3626.0,1,6,9,choice,Before,Animal,2,-3,-3.0,6,6,2,2,-3.0,Animal,False
325,1015,w7f90916,Green,1.0,1729.0,1,1,9,choice,Before,Green,3,1,1.0,3,3,2,3,0.0,Green,True
326,1018,w7f90916,Animal,1.0,3997.0,1,4,9,choice,Before,Green,1,1,-2.0,3,3,1,1,-2.0,Green,False
327,1019,w7f90916,Scene,0.0,1182.0,1,5,9,choice,Before,Green,2,-3,0.0,3,3,2,2,0.0,Green,False
328,1020,w7f90916,Red,0.0,1457.0,1,6,9,choice,Before,Green,2,-3,-3.0,3,3,1,1,-2.0,Green,False
329,1029,w9051394,Animal,0.0,3089.0,1,1,9,choice,After,Animal,1,-2,-2.0,6,6,1,1,-2.0,None,False
330,1030,w9051394,Scene,1.0,2876.0,1,2,9,choice,After,Animal,2,3,3.0,6,6,2,2,3.0,None,False
331,1031,w9051394,Red,0.0,4730.0,1,3,9,choice,After,Animal,2,-1,-1.0,6,6,2,2,-1.0,None,False
332,1032,w9051394,Green,0.0,2063.0,1,4,9,choice,After,Animal,3,-1,-1.0,6,6,3,3,-1.0,None,False
333,1033,w9051394,Food,1.0,1548.0,0,5,9,choice,After,Animal,3,-1,-1.0,6,6,3,3,-1.0,None,False
334,1034,w9051394,Yellow,0.0,3118.0,0,6,9,choice,After,Animal,1,2,2.0,6,6,1,1,2.0,None,False
335,1049,w44f5ace,Object,1.0,3517.0,0,2,9,choice,Before,Animal,2,-1,1.0,2,2,1,1,2.0,Animal,False
336,1050,w44f5ace,Food,1.0,2348.0,0,3,9,choice,Before,Animal,1,-1,1.0,2,2,1,2,1.0,Animal,False
337,1051,w44f5ace,Blue,0.0,978.0,0,4,9,choice,Before,Animal,2,2,0.0,2,2,1,1,2.0,Animal,False
338,1053,w44f5ace,Red,1.0,2561.0,0,6,9,choice,Before,Animal,3,-4,2.0,2,2,1,1,1.0,Animal,False
339,1062,we1b8e64,Food,0.0,3390.0,1,1,9,choice,After,Food,3,-2,-1.0,3,3,2,2,1.0,None,False
340,1065,we1b8e64,Red,1.0,807.0,1,4,9,choice,After,Food,3,2,5.0,3,3,2,2,3.0,None,False
341,1066,we1b8e64,Yellow,0.0,825.0,1,5,9,choice,After,Food,2,-1,-2.0,3,3,1,1,-1.0,None,False
342,1067,we1b8e64,Scene,1.0,4452.0,0,6,9,choice,After,Food,1,-2,1.0,3,3,1,2,1.0,None,False
343,1076,w44c6cc9,Red,0.0,3626.0,1,1,9,choice,Before,Red,2,-1,-1.0,6,6,2,2,-1.0,Red,True
344,1077,w44c6cc9,Yellow,0.0,7305.0,0,2,9,choice,Before,Red,1,1,1.0,6,6,1,1,1.0,Red,False
345,1078,w44c6cc9,Scene,1.0,1902.0,1,3,9,choice,Before,Red,2,3,3.0,6,6,2,2,3.0,Red,False
346,1079,w44c6cc9,Food,0.0,1989.0,1,4,9,choice,Before,Red,3,-3,-3.0,6,6,3,3,-3.0,Red,False
347,1080,w44c6cc9,Animal,0.0,2939.0,1,5,9,choice,Before,Red,1,-1,-2.0,6,6,1,1,-2.0,Red,False
348,1081,w44c6cc9,Green,1.0,2266.0,0,6,9,choice,Before,Red,3,-1,-2.0,6,6,3,3,-2.0,Red,False
349,1090,w60e6ea8,Green,0.0,1885.0,1,1,9,choice,Before,Green,3,-5,-5.0,3,3,2,2,-3.0,Green,True
350,1091,w60e6ea8,Food,1.0,4807.0,1,2,9,choice,Before,Green,3,3,2.0,3,3,2,3,1.0,Green,False
351,1093,w60e6ea8,Blue,1.0,1292.0,1,4,9,choice,Before,Green,2,3,4.0,3,3,1,1,2.0,Green,False
352,1095,w60e6ea8,Scene,0.0,1890.0,1,6,9,choice,Before,Green,1,-2,-2.0,3,3,1,1,-2.0,Green,False
353,1104,wbe569b5,Animal,1.0,2215.0,1,1,9,choice,Before,Animal,2,3,3.0,5,5,2,2,3.0,Animal,True
354,1105,wbe569b5,Red,0.0,1352.0,1,2,9,choice,Before,Animal,2,-1,0.0,5,5,2,2,0.0,Animal,False
355,1106,wbe569b5,Green,0.0,1246.0,0,3,9,choice,Before,Animal,1,2,2.0,5,5,1,1,2.0,Animal,False
356,1108,wbe569b5,Yellow,0.0,1992.0,1,5,9,choice,Before,Animal,3,-1,1.0,5,5,2,2,2.0,Animal,False
357,1109,wbe569b5,Food,0.0,4142.0,1,6,9,choice,Before,Animal,3,-2,1.0,5,5,3,3,1.0,Animal,False
358,1120,wdfdc927,Blue,1.0,3489.0,1,1,9,choice,After,Blue,2,1,1.0,6,6,2,2,1.0,None,False
359,1121,wdfdc927,Yellow,1.0,4978.0,1,2,9,choice,After,Blue,1,2,2.0,6,6,1,1,2.0,None,False
360,1122,wdfdc927,Object,0.0,2895.0,1,3,9,choice,After,Blue,1,-2,-2.0,6,6,1,1,-2.0,None,False
361,1123,wdfdc927,Red,1.0,2453.0,0,4,9,choice,After,Blue,3,-3,-6.0,6,6,3,3,-6.0,None,False
362,1124,wdfdc927,Food,0.0,2529.0,0,5,9,choice,After,Blue,2,3,0.0,6,6,2,2,0.0,None,False
363,1125,wdfdc927,Scene,0.0,2755.0,1,6,9,choice,After,Blue,3,-1,-1.0,6,6,3,3,-1.0,None,False
364,1135,w2991322,Scene,0.0,2980.0,0,2,9,choice,After,Object,3,2,2.0,3,3,2,2,1.0,None,False
365,1136,w2991322,Food,1.0,748.0,0,3,9,choice,After,Object,2,-1,1.0,3,3,1,1,2.0,None,False
366,1137,w2991322,Red,0.0,3889.0,0,4,9,choice,After,Object,1,2,2.0,3,3,1,2,2.0,None,False
367,1139,w2991322,Green,1.0,1547.0,0,6,9,choice,After,Object,2,-4,1.0,3,3,2,3,1.0,None,False
368,1148,wa79cf20,Red,1.0,1547.0,1,1,9,choice,After,Red,3,2,5.0,3,3,1,1,2.0,None,False
369,1149,wa79cf20,Animal,0.0,4422.0,1,2,9,choice,After,Red,3,-2,-1.0,3,3,2,2,-2.0,None,False
370,1150,wa79cf20,Food,0.0,4291.0,0,3,9,choice,After,Red,1,2,2.0,3,3,1,2,2.0,None,False
371,1152,wa79cf20,Blue,1.0,2723.0,1,5,9,choice,After,Red,2,1,-2.0,3,3,1,1,-1.0,None,False
372,1153,wa79cf20,Green,0.0,1396.0,1,6,9,choice,After,Red,1,-2,-1.0,3,3,1,1,-1.0,None,False
373,1164,wb56c2d3,Blue,0.0,2085.0,1,3,9,choice,After,Red,3,-1,2.0,1,1,1,1,-1.0,None,False
374,1165,wb56c2d3,Food,1.0,2262.0,0,4,9,choice,After,Red,3,-1,-2.0,1,1,1,1,-1.0,None,False
375,1176,w2bc0b21,Blue,0.0,4487.0,1,1,9,choice,After,Blue,2,-1,0.0,4,4,1,1,-1.0,None,False
376,1178,w2bc0b21,Yellow,1.0,2481.0,1,3,9,choice,After,Blue,1,2,2.0,4,4,1,1,2.0,None,False
377,1179,w2bc0b21,Green,0.0,1611.0,1,4,9,choice,After,Blue,3,-2,-2.0,4,4,2,2,-3.0,None,False
378,1180,w2bc0b21,Scene,1.0,1929.0,1,5,9,choice,After,Blue,3,2,2.0,4,4,2,2,1.0,None,False
379,1181,w2bc0b21,Animal,0.0,1601.0,1,6,9,choice,After,Blue,2,-4,-3.0,4,4,2,2,-3.0,None,False
380,1190,w5f010fa,Scene,1.0,1858.0,0,1,9,choice,Before,Scene,2,-4,-4.0,6,6,2,2,-4.0,Scene,True
381,1191,w5f010fa,Animal,1.0,4767.0,1,2,9,choice,Before,Scene,3,2,2.0,6,6,3,3,2.0,Scene,False
382,1192,w5f010fa,Red,0.0,2742.0,1,3,9,choice,Before,Scene,1,-1,-1.0,6,6,1,1,-1.0,Scene,False
383,1193,w5f010fa,Blue,1.0,5767.0,0,4,9,choice,Before,Scene,2,-1,-1.0,6,6,2,2,-1.0,Scene,False
384,1194,w5f010fa,Yellow,1.0,2968.0,1,5,9,choice,Before,Scene,3,1,1.0,6,6,3,3,1.0,Scene,False
385,1195,w5f010fa,Object,0.0,3538.0,0,6,9,choice,Before,Scene,1,1,1.0,6,6,1,1,1.0,Scene,False
386,1204,w962c662,Food,1.0,1437.0,0,2,9,choice,Before,Green,3,-1,5.0,1,1,1,1,2.0,Green,False
387,1208,w962c662,Yellow,1.0,1012.0,0,6,9,choice,Before,Green,1,-1,2.0,1,1,1,2,2.0,Green,False
388,1217,w1571d58,Object,1.0,3265.0,0,1,9,choice,Before,Object,3,-1,-1.0,5,5,3,3,-1.0,Object,True
389,1218,w1571d58,Red,1.0,3608.0,1,2,9,choice,Before,Object,3,1,1.0,5,5,2,2,3.0,Object,False
390,1219,w1571d58,Animal,0.0,1665.0,0,3,9,choice,Before,Object,2,3,3.0,5,5,2,3,3.0,Object,False
391,1221,w1571d58,Blue,0.0,1099.0,1,5,9,choice,Before,Object,1,-2,-2.0,5,5,1,2,-2.0,Object,False
392,1222,w1571d58,Green,0.0,5224.0,0,6,9,choice,Before,Object,2,1,1.0,5,5,2,2,1.0,Object,False
393,1231,w36b3d2f,Blue,0.0,843.0,1,1,9,choice,Before,Blue,2,-3,-3.0,5,5,2,2,-3.0,Blue,True
394,1232,w36b3d2f,Animal,1.0,4025.0,0,2,9,choice,Before,Blue,3,-1,-2.0,5,5,2,2,-3.0,Blue,False
395,1233,w36b3d2f,Food,1.0,1919.0,1,3,9,choice,Before,Blue,1,2,1.0,5,5,1,2,1.0,Blue,False
396,1234,w36b3d2f,Object,1.0,3322.0,0,4,9,choice,Before,Blue,2,-1,0.0,5,5,2,2,0.0,Blue,False
397,1235,w36b3d2f,Red,1.0,3449.0,1,5,9,choice,Before,Blue,3,2,1.0,5,5,3,3,1.0,Blue,False
398,1245,w3d5caa9,Red,1.0,3401.0,1,1,9,choice,After,Red,1,2,2.0,4,4,1,1,2.0,None,False
399,1246,w3d5caa9,Green,0.0,2605.0,1,2,9,choice,After,Red,3,-2,-2.0,4,4,1,1,1.0,None,False
400,1247,w3d5caa9,Object,1.0,3655.0,0,3,9,choice,After,Red,2,-1,-1.0,4,4,2,2,-1.0,None,False
401,1248,w3d5caa9,Food,0.0,4789.0,0,4,9,choice,After,Red,3,2,2.0,4,4,2,2,3.0,None,False
402,1250,w3d5caa9,Blue,1.0,1575.0,0,6,9,choice,After,Red,2,-1,-1.0,4,4,2,2,-1.0,None,False
403,1259,wa6daa50,Blue,0.0,1991.0,0,1,9,choice,After,Blue,1,1,1.0,5,5,1,1,1.0,None,False
404,1260,wa6daa50,Animal,0.0,2449.0,1,2,9,choice,After,Blue,1,-1,1.0,5,5,1,1,1.0,None,False
405,1261,wa6daa50,Scene,1.0,1315.0,1,3,9,choice,After,Blue,2,1,-3.0,5,5,2,2,-3.0,None,False
406,1262,wa6daa50,Food,1.0,3370.0,1,4,9,choice,After,Blue,3,2,1.0,5,5,2,2,2.0,None,False
407,1263,wa6daa50,Green,1.0,3893.0,1,5,9,choice,After,Blue,3,3,-2.0,5,5,2,2,-1.0,None,False
408,1264,wa6daa50,Red,0.0,883.0,1,6,9,choice,After,Blue,2,-2,0.0,5,5,2,2,0.0,None,False
409,1291,w0b3246f,Object,0.0,4209.0,1,1,9,choice,After,Object,2,-1,2.0,5,5,2,2,2.0,None,False
410,1293,w0b3246f,Scene,1.0,818.0,1,3,9,choice,After,Object,3,1,5.0,5,5,3,3,5.0,None,False
411,1294,w0b3246f,Blue,1.0,4004.0,1,4,9,choice,After,Object,1,2,2.0,5,5,1,2,2.0,None,False
412,1295,w0b3246f,Red,0.0,3776.0,1,5,9,choice,After,Object,3,-2,4.0,5,5,2,2,3.0,None,False
413,1296,w0b3246f,Yellow,1.0,2551.0,0,6,9,choice,After,Object,2,-1,2.0,5,5,2,2,2.0,None,False
414,1305,w0d04a41,Object,0.0,2299.0,1,1,9,choice,Before,Object,3,-1,-1.0,5,5,2,2,0.0,Object,True
415,1306,w0d04a41,Blue,1.0,3552.0,0,2,9,choice,Before,Object,3,-1,-4.0,5,5,2,2,-3.0,Object,False
416,1307,w0d04a41,Red,0.0,2860.0,1,3,9,choice,Before,Object,1,-2,-2.0,5,5,1,2,-2.0,Object,False
417,1308,w0d04a41,Food,1.0,2641.0,1,4,9,choice,Before,Object,1,2,-1.0,5,5,1,1,-1.0,Object,False
418,1309,w0d04a41,Animal,0.0,3332.0,1,5,9,choice,Before,Object,2,-1,-1.0,5,5,2,2,-1.0,Object,False
419,1310,w0d04a41,Green,1.0,4620.0,1,6,9,choice,Before,Object,2,3,3.0,5,5,2,2,3.0,Object,False
420,1319,wf63c50b,Food,1.0,2328.0,1,1,9,choice,Before,Food,1,1,1.0,2,2,1,1,1.0,Food,True
