,index,wid,option,choice,rt,correct,trial_number,game,phase,multi_time,multi_dim,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value,dim_shown,expected_dim
49,132,w4bf9dec,Red,0.0,2754.0,1,4,9,choice,Before,Green,1,-1,-1.0,5,5,1,2,-1.0,Green,False
50,133,w4bf9dec,Blue,0.0,1627.0,1,5,9,choice,Before,Green,3,-2,-4.0,5,5,2,2,-3.0,Green,False
51,134,w4bf9dec,Food,1.0,4353.0,1,6,9,choice,Before,Green,1,1,-1.0,5,5,1,2,-1.0,Green,False
52,143,w277fccf,Scene,0.0,4640.0,0,1,9,choice,After,Scene,3,2,-2.0,6,6,3,3,-2.0,None,False
53,144,w277fccf,Animal,0.0,3694.0,1,2,9,choice,After,Scene,2,-1,-1.0,6,6,2,2,-1.0,None,False
54,145,w277fccf,Blue,0.0,4582.0,0,3,9,choice,After,Scene,2,3,-1.0,6,6,2,2,-1.0,None,False
55,146,w277fccf,Yellow,1.0,2588.0,1,4,9,choice,After,Scene,1,2,2.0,6,6,1,1,2.0,None,False
56,147,w277fccf,Green,0.0,1345.0,1,5,9,choice,After,Scene,3,-5,-5.0,6,6,3,3,-5.0,None,False
57,148,w277fccf,Object,0.0,4520.0,1,6,9,choice,After,Scene,1,-1,-1.0,6,6,1,1,-1.0,None,False
58,157,w50c12e5,Scene,1.0,4090.0,1,1,9,choice,After,Scene,3,2,-1.0,3,3,1,1,2.0,None,False
59,158,w50c12e5,Green,0.0,1717.0,0,2,9,choice,After,Scene,3,2,-1.0,3,3,1,1,-1.0,None,False
60,160,w50c12e5,Yellow,0.0,3103.0,1,4,9,choice,After,Scene,1,-1,2.0,3,3,1,1,2.0,None,False
61,161,w50c12e5,Blue,0.0,1205.0,1,5,9,choice,After,Scene,2,-1,-4.0,3,3,1,2,-2.0,None,False
62,162,w50c12e5,Animal,1.0,2348.0,0,6,9,choice,After,Scene,2,-4,-3.0,3,3,2,3,-3.0,None,False
63,185,w8d745f1,Green,1.0,2021.0,1,1,9,choice,After,Green,3,3,3.0,6,6,3,3,3.0,None,False
64,186,w8d745f1,Red,0.0,2552.0,1,2,9,choice,After,Green,2,-1,-1.0,6,6,2,2,-1.0,None,False
65,187,w8d745f1,Yellow,0.0,1332.0,1,3,9,choice,After,Green,1,-2,-2.0,6,6,1,1,-2.0,None,False
66,188,w8d745f1,Scene,1.0,1680.0,1,4,9,choice,After,Green,2,3,3.0,6,6,2,2,3.0,None,False
67,189,w8d745f1,Object,1.0,2523.0,1,5,9,choice,After,Green,1,2,2.0,6,6,1,1,2.0,None,False
68,190,w8d745f1,Food,0.0,1329.0,1,6,9,choice,After,Green,3,-5,-5.0,6,6,3,3,-5.0,None,False
69,212,w02461c5,Food,0.0,1664.0,1,1,9,choice,Before,Food,1,-1,-1.0,4,4,1,1,-1.0,Food,True
70,213,w02461c5,Green,1.0,3456.0,0,2,9,choice,Before,Food,3,-1,1.0,4,4,2,2,0.0,Food,False
71,214,w02461c5,Object,1.0,1042.0,0,3,9,choice,Before,Food,3,-1,2.0,4,4,2,2,3.0,Food,False
72,215,w02461c5,Blue,0.0,2316.0,0,4,9,choice,Before,Food,2,1,1.0,4,4,1,1,2.0,Food,False
73,216,w02461c5,Animal,1.0,2340.0,1,5,9,choice,Before,Food,2,4,3.0,4,4,1,1,2.0,Food,False
74,217,w02461c5,Yellow,1.0,3823.0,1,6,9,choice,Before,Food,1,2,2.0,4,4,1,1,2.0,Food,False
75,226,wcc15547,Blue,0.0,2105.0,1,1,9,choice,Before,Blue,2,-2,0.0,3,3,2,2,0.0,Blue,True
76,227,wcc15547,Object,1.0,1155.0,0,2,9,choice,Before,Blue,2,-2,-1.0,3,3,1,2,-2.0,Blue,False
77,230,wcc15547,Scene,1.0,539.0,1,5,9,choice,Before,Blue,3,3,3.0,3,3,2,3,1.0,Blue,False
