model,feature,choice,rt,true_value,recalled_value,game_number
feature,Yellow,1,2,2,0.0,4
feature,Red,1,2,1,0.0,4
feature,Blue,0,2,-4,-4.043695232331553,4
feature,Food,1,2,1,0.8529975024434595,2
feature,Object,0,2,-3,-3.1947161010473186,2
feature,Scene,1,2,2,0.0,2
feature,Blue,0,2,-2,-3.7494001826484356,3
feature,Green,0,2,-2,0.0,3
feature,Yellow,1,2,5,3.5374481289712976,3
feature,Red,0,2,-1,0.0,2
feature,Yellow,1,2,1,0.0,2
feature,Green,1,2,1,0.9741844762675167,2
feature,Animal,0,2,-3,-2.7722866410386655,8
feature,Food,1,2,1,1.9015357526216994,8
feature,Object,1,2,1,0.0,8
feature,Yellow,1,2,3,0.0,7
feature,Red,0,2,-4,-0.29584121606317215,7
feature,Blue,1,2,2,0.0,7
feature,Object,1,2,1,1.0784567074913998,7
feature,Scene,1,2,1,0.6969387100285813,7
feature,Animal,0,2,-4,0.0,7
feature,Animal,0,2,-1,-1.3098334699239897,6
feature,Food,1,2,2,-2.169767474654475,6
feature,Scene,0,2,-1,0.0,6
feature,Yellow,0,2,-3,0.0,7
feature,Red,1,2,2,1.5336859828661475,7
feature,Blue,1,2,2,0.0,7
feature,Food,0,2,-2,0.0,8
feature,Object,1,2,2,2.1898958568481564,8
feature,Animal,1,2,1,0.0,8
feature,Blue,1,2,3,2.5395778537193787,8
feature,Yellow,0,2,-4,0.0,8
feature,Red,0,2,-1,0.0,8
feature,Animal,0,2,-2,-2.0210022953926488,4
feature,Object,1,2,1,-1.3704542399276984,4
feature,Food,1,2,3,0.24395605636035844,4
feature,Food,1,2,1,0.0,6
feature,Object,0,2,-1,0.0,6
feature,Scene,1,2,2,-0.7578819979566644,6
feature,Red,0,2,-1,0.0,6
feature,Green,0,2,-2,0.0,6
feature,Blue,1,2,1,0.6059729209448554,6
feature,Animal,1,2,1,1.672183312973225,1
feature,Scene,0,2,-2,0.0,1
feature,Food,1,2,2,0.0,1
feature,Scene,1,2,1,0.0,7
feature,Object,1,2,1,0.0,7
feature,Animal,0,2,-1,0.0,7
feature,Scene,1,2,1,0.0,7
feature,Food,1,2,1,0.9311585928832175,7
feature,Object,0,2,-3,0.0,7
feature,Animal,1,2,1,0.0,4
feature,Object,0,2,-3,-1.9984362753781828,4
feature,Food,1,2,3,2.0202177053177564,4
feature,Yellow,0,2,-1,0.0,7
feature,Red,1,2,2,-0.6991384589767886,7
feature,Blue,0,2,-2,0.0,7
feature,Yellow,1,2,3,0.19414673632418022,4
feature,Red,0,2,-1,-0.4501809730361539,4
feature,Blue,0,2,-1,-0.6869242448176622,4
feature,Green,0,2,-1,-2.466319270150783,6
feature,Red,0,2,-1,-1.7758035525126874,6
feature,Yellow,1,2,1,0.0,6
feature,Object,1,2,2,0.0,7
feature,Scene,0,2,-2,-2.8436524889199086,7
feature,Animal,1,2,1,0.0,7
feature,Food,0,2,-1,0.0,2
feature,Object,1,2,4,1.9302031083773543,2
feature,Scene,0,2,-1,-0.9740558644758031,2
feature,Animal,1,2,1,-1.1054786809083557,4
feature,Object,1,2,1,0.0,4
feature,Scene,0,2,-2,-2.3820169664600277,4
feature,Red,1,2,2,1.7037107763283625,2
feature,Yellow,1,2,1,1.2907606374182772,2
feature,Green,0,2,-2,0.0,2
feature,Blue,0,2,-4,-1.7764697180228506,7
feature,Green,1,2,1,0.4568954967496752,7
feature,Yellow,1,2,2,3.0124164755688128,7
feature,Scene,1,2,1,0.0,7
feature,Food,1,2,1,0.0,7
feature,Object,0,2,-3,-1.7787169426397322,7
feature,Green,0,2,-1,-1.2575842367529217,5
feature,Red,0,2,-1,0.0,5
feature,Yellow,1,2,1,1.0076424905750443,5
feature,Food,0,2,-2,0.0,7
feature,Object,1,2,1,0.0,7
feature,Scene,1,2,2,3.0992113845777176,7
feature,Red,1,2,1,0.0,4
feature,Yellow,0,2,-3,0.0,4
feature,Green,1,2,1,0.0,4
feature,Scene,0,2,-1,-0.6025123268410755,1
feature,Food,1,2,2,0.0,1
feature,Animal,0,2,-1,-1.877455312825914,1
feature,Red,0,2,-3,1.1069485851824397,8
feature,Green,1,2,2,0.0,8
feature,Blue,0,2,-1,0.17847207227415474,8
