,index,wid,option,choice,rt,correct,trial_number,game,phase,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered
281,281,w52f1872,Sea,1.0,4359.0,1,2,5,choice,2,4,3.0,4,4,1,2
282,282,w52f1872,Object,1.0,2807.0,0,3,5,choice,3,-1,1.0,4,4,2,3
283,283,w52f1872,Large,0.0,971.0,0,4,5,choice,1,1,1.0,4,4,1,1
284,284,w52f1872,Solid,0.0,2239.0,1,1,7,choice,2,-4,2.0,1,1,0,0
285,285,w52f1872,Sea,1.0,1127.0,1,2,7,choice,1,2,-2.0,1,1,0,0
286,286,w52f1872,Small,0.0,3763.0,1,3,7,choice,4,-4,-1.0,1,1,0,0
287,287,w52f1872,Animal,1.0,973.0,0,4,7,choice,3,-3,-2.0,1,1,0,0
288,288,w8eb1000,Land,0.0,2430.0,0,1,1,choice,1,2,2.0,4,4,0,1
289,289,w8eb1000,Large,0.0,1636.0,1,2,1,choice,2,-3,-3.0,4,4,1,2
290,290,w8eb1000,Animal,1.0,1004.0,1,3,1,choice,3,2,1.0,4,4,2,3
291,291,w8eb1000,Solid,1.0,1440.0,1,4,1,choice,4,3,0.0,4,4,2,2
292,292,w8eb1000,Solid,1.0,6553.0,1,1,2,choice,4,1,2.0,5,5,3,3
293,293,w8eb1000,Animal,0.0,4865.0,0,2,2,choice,2,1,1.0,5,5,1,1
294,294,w8eb1000,Large,0.0,5646.0,0,3,2,choice,3,3,3.0,5,5,2,2
295,295,w8eb1000,Sea,0.0,2239.0,1,4,2,choice,1,-1,-1.0,5,5,1,1
296,296,w8eb1000,Solid,1.0,3806.0,0,1,3,choice,1,-2,-2.0,6,6,1,1
297,297,w8eb1000,Sea,1.0,3337.0,1,2,3,choice,4,1,0.0,6,6,4,4
298,298,w8eb1000,Small,1.0,5836.0,1,3,3,choice,3,2,1.0,6,6,3,3
299,299,w8eb1000,Object,0.0,3751.0,1,4,3,choice,2,-3,-3.0,6,6,2,2
300,300,w8eb1000,Pattern,0.0,4850.0,0,1,4,choice,4,1,-1.0,5,5,3,3
301,301,w8eb1000,Small,1.0,5192.0,1,2,4,choice,3,3,2.0,5,5,2,2
302,302,w8eb1000,Land,0.0,6812.0,1,3,4,choice,2,-2,-3.0,5,5,1,1
303,303,w8eb1000,Object,0.0,2596.0,1,4,4,choice,1,-1,-2.0,5,5,1,1
304,304,w8eb1000,Small,0.0,6750.0,0,1,5,choice,3,3,-2.0,5,5,3,3
305,305,w8eb1000,Land,1.0,6079.0,0,2,5,choice,1,-1,-2.0,5,5,1,1
306,306,w8eb1000,Pattern,0.0,4742.0,0,3,5,choice,4,1,-1.0,5,5,3,3
307,307,w8eb1000,Animal,1.0,2601.0,1,4,5,choice,2,4,-3.0,5,5,2,2
308,308,w8eb1000,Sea,0.0,6056.0,1,1,6,choice,1,-2,-2.0,5,5,1,1
309,309,w8eb1000,Pattern,1.0,5008.0,1,2,6,choice,2,3,1.0,5,5,2,2
310,310,w8eb1000,Small,0.0,4664.0,1,3,6,choice,4,-1,-1.0,5,5,3,3
311,311,w8eb1000,Object,0.0,2814.0,1,4,6,choice,3,-2,-2.0,5,5,2,2
312,312,w8eb1000,Large,0.0,4948.0,1,1,7,choice,3,-1,-5.0,4,4,2,3
313,313,w8eb1000,Animal,1.0,4792.0,1,2,7,choice,1,2,2.0,4,4,1,1
314,314,w8eb1000,Sea,1.0,3426.0,1,3,7,choice,4,4,3.0,4,4,2,3
315,315,w8eb1000,Pattern,1.0,3587.0,1,4,7,choice,2,1,1.0,4,4,2,3
316,316,w7606987,Small,0.0,2760.0,0,1,1,choice,1,2,-2.0,3,3,0,1
317,317,w7606987,Animal,1.0,1758.0,0,2,1,choice,3,-1,-1.0,3,3,2,3
318,318,w7606987,Solid,1.0,1433.0,1,3,1,choice,4,5,0.0,3,3,3,3
319,319,w7606987,Land,1.0,1007.0,1,4,1,choice,2,1,1.0,3,3,2,4
320,320,w7606987,Land,1.0,1756.0,0,1,2,choice,2,-1,-3.0,1,1,0,2
321,321,w7606987,Small,0.0,1272.0,0,2,2,choice,3,1,-2.0,1,1,0,0
322,322,w7606987,Object,1.0,3031.0,1,3,2,choice,4,2,0.0,1,1,0,2
323,323,w7606987,Pattern,1.0,1257.0,1,4,2,choice,1,1,-2.0,1,1,0,2
324,324,w7606987,Solid,0.0,1162.0,0,1,3,choice,3,2,0.0,6,6,0,0
325,325,w7606987,Object,0.0,1886.0,1,2,3,choice,4,-3,2.0,6,6,0,0
326,326,w7606987,Land,0.0,1539.0,0,3,3,choice,1,2,1.0,6,6,0,0
327,327,w7606987,Large,0.0,1487.0,1,4,3,choice,2,-4,3.0,6,6,0,0
328,328,w7606987,Sea,1.0,6763.0,0,1,4,choice,3,-1,-2.0,3,3,0,1
329,329,w7606987,Animal,0.0,3274.0,1,2,4,choice,1,-1,1.0,3,3,0,0
330,330,w7606987,Large,1.0,3054.0,1,3,4,choice,2,1,-1.0,3,3,1,2
331,331,w7606987,Pattern,1.0,1664.0,1,4,4,choice,4,1,0.0,3,3,2,2
332,332,w7606987,Object,0.0,2777.0,1,1,5,choice,3,-3,-1.0,2,2,1,1
333,333,w7606987,Pattern,0.0,1015.0,0,2,5,choice,4,2,-4.0,2,2,1,1
334,334,w7606987,Large,1.0,2139.0,0,3,5,choice,1,-2,-1.0,2,2,1,1
335,335,w7606987,Sea,1.0,2483.0,1,4,5,choice,2,1,1.0,2,2,1,1
336,336,w7606987,Object,1.0,2293.0,1,1,6,choice,1,1,-2.0,1,1,0,0
337,337,w7606987,Pattern,1.0,1607.0,0,2,6,choice,4,-3,-3.0,1,1,0,0
338,338,w7606987,Small,0.0,1944.0,1,3,6,choice,2,-3,-2.0,1,1,0,0
339,339,w7606987,Land,1.0,2514.0,0,4,6,choice,3,-1,-1.0,1,1,1,1
340,340,w7606987,Sea,1.0,911.0,0,1,7,choice,1,-1,-2.0,5,5,0,1
341,341,w7606987,Small,0.0,2003.0,0,2,7,choice,4,1,-2.0,5,5,0,0
342,342,w7606987,Animal,1.0,2406.0,1,3,7,choice,3,2,3.0,5,5,1,1
343,343,w7606987,Solid,1.0,2843.0,1,4,7,choice,2,3,1.0,5,5,0,0
344,344,w84e06f3,Land,1.0,1849.0,1,1,1,choice,4,2,2.0,5,5,3,3
345,345,w84e06f3,Pattern,0.0,6484.0,1,2,1,choice,3,-1,-1.0,5,5,3,3
346,346,w84e06f3,Small,,,0,3,1,choice,1,-2,-2.0,5,5,1,1
347,347,w84e06f3,Object,1.0,3464.0,1,4,1,choice,2,2,2.0,5,5,1,1
348,348,w84e06f3,Solid,1.0,3876.0,1,1,2,choice,4,4,4.0,5,5,3,3
349,349,w84e06f3,Sea,0.0,4556.0,0,2,2,choice,2,1,1.0,5,5,2,2
350,350,w84e06f3,Object,1.0,6186.0,0,3,2,choice,1,-2,-2.0,5,5,1,1
351,351,w84e06f3,Large,1.0,3993.0,1,4,2,choice,3,2,2.0,5,5,3,3
352,352,w84e06f3,Land,1.0,5726.0,1,1,3,choice,3,2,2.0,5,5,3,3
353,353,w84e06f3,Small,0.0,6308.0,1,2,3,choice,1,-1,-1.0,5,5,1,2
354,354,w84e06f3,Pattern,0.0,4613.0,1,3,3,choice,2,-1,-1.0,5,5,1,2
355,355,w84e06f3,Animal,,,0,4,3,choice,4,1,1.0,5,5,3,4
356,356,w84e06f3,Large,0.0,2304.0,1,1,4,choice,3,-2,-2.0,5,5,2,2
357,357,w84e06f3,Land,0.0,6946.0,0,2,4,choice,1,1,1.0,5,5,1,2
358,358,w84e06f3,Object,0.0,5049.0,0,3,4,choice,4,1,-1.0,5,5,3,3
359,359,w84e06f3,Pattern,1.0,1070.0,1,4,4,choice,2,2,2.0,5,5,1,1
360,360,w84e06f3,Animal,1.0,4529.0,1,1,5,choice,3,3,2.0,5,5,3,3
361,361,w84e06f3,Sea,0.0,5689.0,1,2,5,choice,2,-3,-2.0,5,5,2,2
362,362,w84e06f3,Pattern,0.0,3808.0,1,3,5,choice,1,-2,-1.0,5,5,1,1
363,363,w84e06f3,Small,1.0,1127.0,1,4,5,choice,4,1,2.0,5,5,4,4
364,364,w84e06f3,Large,1.0,2692.0,0,1,6,choice,2,-4,-3.0,4,4,1,1
365,365,w84e06f3,Solid,0.0,3909.0,0,2,6,choice,1,1,1.0,4,4,0,0
366,366,w84e06f3,Sea,0.0,2679.0,0,3,6,choice,3,1,-2.0,4,4,2,2
367,367,w84e06f3,Animal,1.0,2458.0,1,4,6,choice,4,3,1.0,4,4,2,2
368,368,w84e06f3,Animal,1.0,3671.0,1,1,7,choice,1,1,1.0,5,5,0,1
369,369,w84e06f3,Solid,0.0,3895.0,1,2,7,choice,2,-3,-3.0,5,5,2,2
370,370,w84e06f3,Land,1.0,1539.0,1,3,7,choice,3,1,1.0,5,5,2,2
371,371,w84e06f3,Small,0.0,2653.0,1,4,7,choice,4,-1,-1.0,5,5,3,4
372,412,we2b50c8,Solid,1.0,2830.0,0,1,1,choice,2,-1,0.0,4,4,2,2
373,413,we2b50c8,Large,0.0,3944.0,1,2,1,choice,1,-1,-2.0,4,4,0,1
374,414,we2b50c8,Sea,1.0,4339.0,0,3,1,choice,3,-1,-3.0,4,4,2,2
375,415,we2b50c8,Object,1.0,3995.0,1,4,1,choice,4,1,-2.0,4,4,2,2
376,416,we2b50c8,Solid,,,0,1,2,choice,4,-1,-3.0,3,3,3,3
377,417,we2b50c8,Large,0.0,251.0,1,2,2,choice,1,-1,-1.0,3,3,1,2
378,418,we2b50c8,Animal,1.0,914.0,1,3,2,choice,3,2,2.0,3,3,2,2
379,419,we2b50c8,Sea,0.0,3642.0,1,4,2,choice,2,-2,-3.0,3,3,2,3
380,420,we2b50c8,Pattern,0.0,4274.0,0,1,3,choice,3,2,-1.0,4,4,2,2
381,421,we2b50c8,Land,0.0,2776.0,1,2,3,choice,1,-1,-1.0,4,4,1,3
382,422,we2b50c8,Animal,1.0,1126.0,1,3,3,choice,2,3,3.0,4,4,2,3
383,423,we2b50c8,Large,1.0,2005.0,1,4,3,choice,4,1,1.0,4,4,4,4
384,424,we2b50c8,Pattern,0.0,3930.0,1,1,4,choice,3,-1,-1.0,2,2,1,2
385,425,we2b50c8,Small,1.0,1478.0,1,2,4,choice,1,1,1.0,2,2,0,2
386,426,we2b50c8,Animal,0.0,2035.0,1,3,4,choice,4,-1,-1.0,2,2,1,2
387,427,we2b50c8,Sea,1.0,4587.0,1,4,4,choice,2,2,2.0,2,2,0,1
388,428,we2b50c8,Solid,1.0,2109.0,1,1,5,choice,1,2,2.0,3,3,0,0
389,429,we2b50c8,Large,1.0,1102.0,0,2,5,choice,4,-1,-3.0,3,3,3,4
390,430,we2b50c8,Land,0.0,2588.0,0,3,5,choice,2,2,-1.0,3,3,1,2
391,431,we2b50c8,Object,1.0,1719.0,1,4,5,choice,3,1,-1.0,3,3,2,2
392,432,we2b50c8,Pattern,0.0,3301.0,1,1,6,choice,2,-1,-2.0,1,1,0,3
393,433,we2b50c8,Land,0.0,1821.0,1,2,6,choice,4,-5,-3.0,1,1,1,2
394,434,we2b50c8,Small,1.0,1090.0,1,3,6,choice,1,2,2.0,1,1,0,1
395,435,we2b50c8,Object,1.0,3471.0,0,4,6,choice,3,-3,1.0,1,1,0,1
396,436,we2b50c8,Solid,0.0,3334.0,0,1,7,choice,2,2,0.0,4,4,2,2
397,437,we2b50c8,Land,1.0,1513.0,1,2,7,choice,1,1,-1.0,4,4,1,1
398,438,we2b50c8,Small,1.0,3059.0,0,3,7,choice,4,-2,-1.0,4,4,3,3
399,439,we2b50c8,Object,0.0,3817.0,1,4,7,choice,3,-2,-5.0,4,4,3,3
400,440,w4077e51,Land,,,0,1,1,choice,3,2,2.0,3,3,2,4
401,441,w4077e51,Large,0.0,3395.0,0,2,1,choice,2,4,3.0,3,3,2,3
402,442,w4077e51,Solid,1.0,2717.0,0,3,1,choice,1,-2,-2.0,3,3,0,2
403,443,w4077e51,Animal,0.0,1808.0,1,4,1,choice,4,-1,-3.0,3,3,1,2
404,444,w4077e51,Pattern,1.0,2762.0,0,1,2,choice,1,-2,-1.0,5,5,1,2
405,445,w4077e51,Animal,0.0,6433.0,0,2,2,choice,4,1,1.0,5,5,3,4
406,446,w4077e51,Small,0.0,1191.0,1,3,2,choice,3,-4,-4.0,5,5,3,4
407,447,w4077e51,Sea,1.0,1340.0,1,4,2,choice,2,1,-1.0,5,5,1,2
408,448,w4077e51,Pattern,1.0,1208.0,1,1,3,choice,3,2,1.0,5,5,3,3
409,449,w4077e51,Object,0.0,5571.0,1,2,3,choice,4,-3,-2.0,5,5,3,3
410,450,w4077e51,Land,1.0,1647.0,0,3,3,choice,2,-1,1.0,5,5,1,2
411,451,w4077e51,Large,0.0,1163.0,1,4,3,choice,1,-1,-2.0,5,5,1,1
412,452,w4077e51,Solid,1.0,2250.0,1,1,4,choice,3,1,4.0,4,4,2,3
413,453,w4077e51,Land,1.0,1119.0,1,2,4,choice,1,1,2.0,4,4,1,2
414,454,w4077e51,Small,0.0,1432.0,1,3,4,choice,2,-3,0.0,4,4,1,3
415,455,w4077e51,Animal,1.0,2248.0,0,4,4,choice,4,-4,3.0,4,4,2,3
416,456,w4077e51,Large,0.0,4194.0,1,1,5,choice,2,-1,-1.0,5,5,2,2
417,457,w4077e51,Solid,1.0,1467.0,1,2,5,choice,3,1,1.0,5,5,2,3
418,458,w4077e51,Sea,1.0,5172.0,1,3,5,choice,1,2,2.0,5,5,1,2
419,459,w4077e51,Object,1.0,1148.0,0,4,5,choice,4,-3,-2.0,5,5,4,4
420,460,w4077e51,Large,0.0,1332.0,1,1,6,choice,2,-4,-4.0,3,3,2,3
421,461,w4077e51,Object,1.0,1667.0,1,2,6,choice,1,1,1.0,3,3,0,2
422,462,w4077e51,Pattern,1.0,1076.0,1,3,6,choice,4,3,2.0,3,3,2,4
423,463,w4077e51,Land,0.0,1691.0,1,4,6,choice,3,-2,-2.0,3,3,3,6
424,464,w4077e51,Small,1.0,3222.0,0,1,7,choice,1,-1,-1.0,4,4,1,2
425,465,w4077e51,Sea,0.0,2606.0,0,2,7,choice,3,2,-3.0,4,4,2,3
426,466,w4077e51,Pattern,1.0,742.0,0,3,7,choice,4,-2,-5.0,4,4,3,4
427,467,w4077e51,Animal,1.0,3919.0,0,4,7,choice,2,-2,-2.0,4,4,1,3
428,468,w44b0e2d,Land,,,0,1,1,choice,4,-1,3.0,6,6,4,4
429,469,w44b0e2d,Small,1.0,7472.0,1,2,1,choice,1,1,1.0,6,6,1,1
430,470,w44b0e2d,Object,0.0,5114.0,1,3,1,choice,2,-1,-1.0,6,6,2,2
431,471,w44b0e2d,Pattern,1.0,5754.0,0,4,1,choice,3,-2,2.0,6,6,3,3
432,472,w44b0e2d,Solid,,,0,1,2,choice,4,-1,-1.0,5,5,3,3
433,473,w44b0e2d,Sea,1.0,3386.0,0,2,2,choice,2,-1,-1.0,5,5,1,1
434,474,w44b0e2d,Object,1.0,3862.0,1,3,2,choice,1,1,1.0,5,5,1,1
435,475,w44b0e2d,Large,0.0,1429.0,1,4,2,choice,3,-2,-2.0,5,5,2,3
436,476,w44b0e2d,Pattern,0.0,3631.0,0,1,3,choice,2,1,1.0,6,6,2,2
437,477,w44b0e2d,Animal,1.0,1197.0,1,2,3,choice,4,4,5.0,6,6,4,4
438,478,w44b0e2d,Small,1.0,3758.0,0,3,3,choice,1,-1,-1.0,6,6,1,1
439,479,w44b0e2d,Land,1.0,2655.0,0,4,3,choice,3,-1,0.0,6,6,3,3
440,480,w44b0e2d,Object,0.0,3334.0,1,1,4,choice,4,-2,-5.0,5,5,3,3
441,481,w44b0e2d,Land,0.0,4220.0,1,2,4,choice,1,-1,-1.0,5,5,1,2
442,482,w44b0e2d,Pattern,0.0,1677.0,1,3,4,choice,2,-3,-3.0,5,5,2,2
443,483,w44b0e2d,Large,0.0,1985.0,0,4,4,choice,3,1,-2.0,5,5,3,3
444,484,w44b0e2d,Small,1.0,3258.0,1,1,5,choice,4,1,1.0,6,6,4,4
445,485,w44b0e2d,Pattern,0.0,2474.0,1,2,5,choice,1,-1,-1.0,6,6,1,1
446,486,w44b0e2d,Animal,1.0,2254.0,1,3,5,choice,3,2,2.0,6,6,3,3
447,487,w44b0e2d,Sea,1.0,4288.0,0,4,5,choice,2,-3,-3.0,6,6,2,2
448,488,w44b0e2d,Animal,0.0,1970.0,0,1,6,choice,4,3,-3.0,6,6,4,4
449,489,w44b0e2d,Solid,1.0,2258.0,1,2,6,choice,1,1,1.0,6,6,1,1
450,490,w44b0e2d,Large,1.0,3967.0,0,3,6,choice,2,-2,-2.0,6,6,2,2
451,491,w44b0e2d,Sea,0.0,789.0,0,4,6,choice,3,2,-2.0,6,6,3,3
452,492,w44b0e2d,Animal,1.0,2621.0,1,1,7,choice,1,2,2.0,6,6,1,1
453,493,w44b0e2d,Land,1.0,3835.0,1,2,7,choice,3,2,2.0,6,6,3,3
454,494,w44b0e2d,Small,0.0,2737.0,0,3,7,choice,4,2,2.0,6,6,4,4
455,495,w44b0e2d,Solid,1.0,3178.0,0,4,7,choice,2,-1,-1.0,6,6,2,2
456,496,we6483ae,Object,1.0,4880.0,1,1,1,choice,4,1,-2.0,4,4,4,5
457,497,we6483ae,Solid,1.0,2352.0,0,2,1,choice,2,-1,1.0,4,4,1,1
458,498,we6483ae,Sea,1.0,2041.0,0,3,1,choice,3,-1,-1.0,4,4,3,3
459,499,we6483ae,Large,1.0,3126.0,0,4,1,choice,1,-1,-2.0,4,4,1,2
460,500,we6483ae,Sea,1.0,4144.0,1,1,2,choice,2,2,2.0,4,4,2,2
461,501,we6483ae,Solid,1.0,1676.0,0,2,2,choice,4,-2,-1.0,4,4,2,2
462,502,we6483ae,Large,0.0,2337.0,0,3,2,choice,1,1,1.0,4,4,1,1
463,503,we6483ae,Animal,0.0,2809.0,1,4,2,choice,3,-3,-3.0,4,4,2,2
464,504,we6483ae,Animal,0.0,792.0,1,1,3,choice,2,-3,-3.0,3,3,2,3
465,505,we6483ae,Pattern,1.0,396.0,0,2,3,choice,3,-1,-2.0,3,3,2,5
466,506,we6483ae,Large,0.0,354.0,0,3,3,choice,4,1,0.0,3,3,3,4
467,507,we6483ae,Land,1.0,700.0,1,4,3,choice,1,2,2.0,3,3,0,3
468,508,we6483ae,Small,0.0,3686.0,1,1,4,choice,1,-2,-1.0,3,3,0,2
469,509,we6483ae,Sea,1.0,1927.0,1,2,4,choice,2,4,-4.0,3,3,1,4
470,510,we6483ae,Animal,1.0,780.0,0,3,4,choice,4,-3,1.0,3,3,2,3
471,511,we6483ae,Pattern,1.0,2329.0,1,4,4,choice,3,3,-1.0,3,3,2,3
472,512,we6483ae,Object,1.0,3113.0,1,1,5,choice,3,2,2.0,6,6,3,3
473,513,we6483ae,Solid,1.0,1563.0,1,2,5,choice,1,2,2.0,6,6,1,1
474,514,we6483ae,Large,1.0,1477.0,1,3,5,choice,4,4,4.0,6,6,4,4
475,515,we6483ae,Land,0.0,4646.0,1,4,5,choice,2,-4,-2.0,6,6,2,2
476,516,we6483ae,Pattern,0.0,1800.0,1,1,6,choice,2,-3,-3.0,4,4,2,4
477,517,we6483ae,Small,1.0,1517.0,1,2,6,choice,1,2,1.0,4,4,0,2
478,518,we6483ae,Land,0.0,1642.0,1,3,6,choice,4,-2,-4.0,4,4,3,4
479,519,we6483ae,Object,1.0,1140.0,1,4,6,choice,3,1,2.0,4,4,2,2
480,520,we6483ae,Small,0.0,1916.0,0,1,7,choice,4,1,2.0,5,5,3,3
481,521,we6483ae,Object,1.0,2090.0,1,2,7,choice,3,3,2.0,5,5,2,3
482,522,we6483ae,Solid,1.0,1808.0,0,3,7,choice,2,-2,0.0,5,5,1,1
483,523,we6483ae,Land,0.0,1364.0,1,4,7,choice,1,-1,-1.0,5,5,0,1
484,524,w37d3a90,Land,,,0,1,1,choice,2,4,3.0,3,3,1,4
485,525,w37d3a90,Small,0.0,4239.0,0,2,1,choice,1,2,1.0,3,3,0,0
486,526,w37d3a90,Animal,1.0,3251.0,0,3,1,choice,3,-1,-1.0,3,3,2,3
487,527,w37d3a90,Solid,0.0,5524.0,0,4,1,choice,4,1,0.0,3,3,3,4
488,528,w37d3a90,Animal,1.0,3111.0,0,1,2,choice,2,-2,0.0,6,6,2,2
489,529,w37d3a90,Sea,1.0,4239.0,1,2,2,choice,1,1,1.0,6,6,1,1
490,530,w37d3a90,Pattern,0.0,6833.0,0,3,2,choice,4,2,2.0,6,6,4,4
491,531,w37d3a90,Large,0.0,3653.0,0,4,2,choice,3,1,1.0,6,6,3,3
492,532,w37d3a90,Sea,1.0,4404.0,1,1,3,choice,3,1,1.0,6,6,3,3
493,533,w37d3a90,Small,1.0,5277.0,1,2,3,choice,4,1,1.0,6,6,4,4
494,534,w37d3a90,Solid,1.0,6857.0,1,3,3,choice,2,3,3.0,6,6,2,2
495,535,w37d3a90,Animal,0.0,4861.0,1,4,3,choice,1,-1,-1.0,6,6,1,1
496,536,w37d3a90,Solid,0.0,4034.0,0,1,4,choice,3,2,0.0,5,5,3,4
497,537,w37d3a90,Land,0.0,2728.0,1,2,4,choice,1,-1,-1.0,5,5,1,2
498,538,w37d3a90,Large,0.0,3838.0,1,3,4,choice,4,-2,1.0,5,5,3,3
499,539,w37d3a90,Object,1.0,4026.0,1,4,4,choice,2,3,1.0,5,5,2,2
500,540,w37d3a90,Land,0.0,4158.0,0,1,5,choice,1,1,2.0,5,5,1,1
501,541,w37d3a90,Pattern,0.0,5106.0,0,2,5,choice,3,1,0.0,5,5,2,3
502,542,w37d3a90,Animal,1.0,6131.0,0,3,5,choice,4,-2,6.0,5,5,4,5
503,543,w37d3a90,Small,0.0,5571.0,1,4,5,choice,2,-3,0.0,5,5,2,3
504,544,w37d3a90,Solid,1.0,6439.0,1,1,6,choice,3,2,1.0,6,6,3,3
505,545,w37d3a90,Large,0.0,3728.0,1,2,6,choice,2,-2,0.0,6,6,2,2
506,546,w37d3a90,Land,0.0,5993.0,0,3,6,choice,4,1,2.0,6,6,4,4
507,547,w37d3a90,Object,0.0,6908.0,1,4,6,choice,1,-1,-1.0,6,6,1,1
508,548,w37d3a90,Pattern,1.0,5619.0,1,1,7,choice,4,1,3.0,6,6,4,4
509,549,w37d3a90,Sea,0.0,6829.0,0,2,7,choice,1,1,1.0,6,6,1,1
510,550,w37d3a90,Object,0.0,5205.0,1,3,7,choice,3,-3,-1.0,6,6,3,3
511,551,w37d3a90,Large,0.0,4866.0,0,4,7,choice,2,1,1.0,6,6,2,2
512,552,w108c7bf,Large,,,0,1,1,choice,2,-1,-1.0,5,5,2,2
513,553,w108c7bf,Land,0.0,54.0,0,2,1,choice,3,1,1.0,5,5,3,3
514,554,w108c7bf,Solid,1.0,2455.0,0,3,1,choice,1,-2,-1.0,5,5,0,0
515,555,w108c7bf,Animal,0.0,4591.0,1,4,1,choice,4,-4,-3.0,5,5,3,3
516,556,w108c7bf,Sea,1.0,2340.0,0,1,2,choice,2,-1,-1.0,3,3,1,1
517,557,w108c7bf,Small,1.0,1692.0,1,2,2,choice,3,1,4.0,3,3,2,2
518,558,w108c7bf,Animal,1.0,3351.0,0,3,2,choice,4,-1,0.0,3,3,1,1
519,559,w108c7bf,Pattern,0.0,691.0,1,4,2,choice,1,-1,2.0,3,3,1,1
520,560,w108c7bf,Large,0.0,2451.0,0,1,3,choice,1,1,1.0,3,3,1,1
521,561,w108c7bf,Object,1.0,2101.0,1,2,3,choice,4,4,4.0,3,3,2,2
522,562,w108c7bf,Land,1.0,3493.0,1,3,3,choice,2,1,1.0,3,3,0,0
523,563,w108c7bf,Pattern,0.0,2342.0,1,4,3,choice,3,-2,-2.0,3,3,2,2
524,564,w108c7bf,Small,1.0,1694.0,1,1,4,choice,2,3,3.0,5,5,2,2
525,565,w108c7bf,Animal,1.0,2833.0,0,2,4,choice,4,-1,0.0,5,5,3,3
526,566,w108c7bf,Solid,0.0,2909.0,1,3,4,choice,3,-3,-3.0,5,5,2,2
527,567,w108c7bf,Land,1.0,3057.0,1,4,4,choice,1,1,1.0,5,5,1,1
528,568,w108c7bf,Large,0.0,1170.0,1,1,5,choice,2,-1,0.0,4,4,1,1
529,569,w108c7bf,Solid,0.0,1932.0,1,2,5,choice,3,-3,-3.0,4,4,2,2
530,570,w108c7bf,Object,1.0,2925.0,0,3,5,choice,4,-1,0.0,4,4,3,3
531,571,w108c7bf,Sea,1.0,1006.0,1,4,5,choice,1,1,1.0,4,4,0,1
532,572,w108c7bf,Pattern,1.0,2338.0,1,1,6,choice,4,3,3.0,5,5,3,3
533,573,w108c7bf,Object,0.0,2466.0,0,2,6,choice,1,1,1.0,5,5,1,1
534,574,w108c7bf,Land,0.0,2420.0,1,3,6,choice,3,-2,-2.0,5,5,3,3
535,575,w108c7bf,Large,0.0,1769.0,1,4,6,choice,2,-4,-4.0,5,5,2,2
536,576,w108c7bf,Pattern,0.0,2197.0,1,1,7,choice,4,-1,2.0,4,4,3,3
537,577,w108c7bf,Animal,1.0,1951.0,1,2,7,choice,2,2,2.0,4,4,1,1
538,578,w108c7bf,Sea,1.0,1982.0,1,3,7,choice,3,1,3.0,4,4,3,3
539,579,w108c7bf,Small,1.0,1104.0,1,4,7,choice,1,1,1.0,4,4,0,0
540,580,w2e6acfb,Animal,,,0,1,1,choice,3,-1,-2.0,1,1,0,2
541,581,w2e6acfb,Pattern,0.0,2933.0,0,2,1,choice,1,2,2.0,1,1,0,3
542,582,w2e6acfb,Land,0.0,3894.0,0,3,1,choice,4,1,4.0,1,1,0,2
543,583,w2e6acfb,Small,1.0,2350.0,1,4,1,choice,2,1,1.0,1,1,0,3
544,584,w2e6acfb,Animal,1.0,3608.0,0,1,2,choice,2,-3,-1.0,3,3,1,2
545,585,w2e6acfb,Small,1.0,3410.0,1,2,2,choice,4,1,2.0,3,3,1,1
546,586,w2e6acfb,Sea,0.0,2114.0,1,3,2,choice,3,-1,-2.0,3,3,1,1
547,587,w2e6acfb,Pattern,1.0,2250.0,0,4,2,choice,1,-1,1.0,3,3,1,1
548,588,w2e6acfb,Animal,1.0,2491.0,0,1,3,choice,3,-1,2.0,3,3,1,2
549,589,w2e6acfb,Sea,1.0,3636.0,1,2,3,choice,2,1,4.0,3,3,2,3
550,590,w2e6acfb,Solid,1.0,3725.0,1,3,3,choice,1,2,-1.0,3,3,0,1
551,591,w2e6acfb,Large,1.0,1541.0,0,4,3,choice,4,-3,0.0,3,3,2,2
552,592,w2e6acfb,Large,0.0,2214.0,0,1,4,choice,4,2,0.0,4,4,3,3
553,593,w2e6acfb,Solid,1.0,3401.0,0,2,4,choice,1,-1,-1.0,4,4,0,1
554,594,w2e6acfb,Sea,1.0,1811.0,0,3,4,choice,3,-1,-1.0,4,4,3,5
555,595,w2e6acfb,Object,1.0,1991.0,1,4,4,choice,2,2,0.0,4,4,2,4
556,596,w2e6acfb,Object,1.0,4937.0,1,1,5,choice,4,1,6.0,1,1,1,2
557,597,w2e6acfb,Land,1.0,3581.0,0,2,5,choice,3,-2,4.0,1,1,0,1
558,598,w2e6acfb,Pattern,0.0,3706.0,0,3,5,choice,2,2,2.0,1,1,1,5
559,599,w2e6acfb,Large,0.0,1962.0,0,4,5,choice,1,1,1.0,1,1,1,3
560,600,w2e6acfb,Land,0.0,1411.0,1,1,6,choice,4,-1,3.0,4,4,3,3
561,601,w2e6acfb,Object,1.0,1068.0,1,2,6,choice,1,1,1.0,4,4,1,2
562,602,w2e6acfb,Solid,0.0,2349.0,0,3,6,choice,3,2,5.0,4,4,2,3
563,603,w2e6acfb,Small,1.0,1006.0,0,4,6,choice,2,-1,2.0,4,4,1,3
