,wid,multi_time,expected_dim,correct_last,correct_full,correct_baseline_corrected
119,wc6f0e84,Before,False,0.2,1.0,-0.8
120,wc6f0e84,Before,True,1.0,1.0,0.0
121,wc73f4d8,Before,False,0.8,0.75,0.050000000000000044
122,wc73f4d8,Before,True,0.0,0.75,-0.75
123,wc8b5d36,After,False,0.6666666666666666,0.25,0.41666666666666663
124,wcc15547,Before,False,0.4,0.5,-0.09999999999999998
125,wcc15547,Before,True,1.0,0.5,0.5
126,wd0724cf,After,False,0.8333333333333334,0.5,0.33333333333333337
127,wd07cb72,Before,False,1.0,1.0,0.0
128,wd07cb72,Before,True,1.0,1.0,0.0
129,wd47555e,Before,False,0.8,0.75,0.050000000000000044
130,wd47555e,Before,True,1.0,0.75,0.25
131,wdab535b,Before,False,0.4,0.6666666666666666,-0.2666666666666666
132,wdab535b,Before,True,0.0,0.6666666666666666,-0.6666666666666666
133,wdde7ef1,Before,False,0.6,1.0,-0.4
134,wdde7ef1,Before,True,1.0,1.0,0.0
135,wdfdc927,After,False,0.6666666666666666,0.5,0.16666666666666663
136,we1b8e64,After,False,0.6666666666666666,0.75,-0.08333333333333337
137,we2434bb,Before,False,0.6,1.0,-0.4
138,we2434bb,Before,True,1.0,1.0,0.0
139,we26c55e,Before,False,0.4,1.0,-0.6
140,we26c55e,Before,True,0.0,1.0,-1.0
141,we38f335,Before,False,0.8,0.5,0.30000000000000004
142,we38f335,Before,True,1.0,0.5,0.5
143,we58a710,After,False,1.0,0.25,0.75
144,we90925d,Before,False,0.4,0.75,-0.35
145,we90925d,Before,True,1.0,0.75,0.25
146,we9631be,Before,False,0.0,0.3333333333333333,-0.3333333333333333
147,we9631be,Before,True,0.0,0.3333333333333333,-0.3333333333333333
148,wea09e5e,After,False,0.3333333333333333,0.25,0.08333333333333331
149,wea8ef8e,Before,False,0.4,0.5,-0.09999999999999998
150,wea8ef8e,Before,True,1.0,0.5,0.5
151,webf5097,After,False,0.16666666666666666,0.75,-0.5833333333333334
152,wf469935,After,False,0.5,1.0,-0.5
153,wf63c50b,Before,False,0.8,0.0,0.8
154,wf63c50b,Before,True,1.0,0.0,1.0
155,wfbb00e1,After,False,0.5,0.5,0.0
156,wfd8b568,After,False,0.8333333333333334,0.75,0.08333333333333337
