,index,wid,option,choice,rt,correct,trial_number,game,phase,n_true_memories,n_considered,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value,considered_value,considered_mem_value,considered_recalled_mem_value
100,162,w27e5a42,Green,1.0,4575.0,1,1,5,choice,1,1,7,5.0,2,2,1,1,5.0,14,5.0,5.0
101,166,w27e5a42,Object,1.0,1342.0,1,5,5,choice,3,2,4,12.0,2,2,2,2,12.0,26,12.0,12.0
102,167,w27e5a42,Yellow,0.0,738.0,1,6,5,choice,3,1,-1,0.0,2,2,1,1,7.0,12,7.0,7.0
103,169,w60e592a,Blue,1.0,1151.0,1,2,1,choice,2,4,3,5.0,2,2,1,3,8.0,6,5.0,8.0
104,171,w60e592a,Food,0.0,4478.0,1,4,1,choice,3,4,-2,3.0,2,2,2,2,6.0,-4,3.0,6.0
105,173,w60e592a,Red,0.0,2055.0,1,6,1,choice,1,4,-3,-2.0,2,2,1,3,-2.0,-6,-2.0,-2.0
106,174,w60e592a,Yellow,1.0,2405.0,0,1,2,choice,3,4,-2,1.0,5,5,2,2,4.0,-4,1.0,4.0
107,175,w60e592a,Animal,1.0,3714.0,1,2,2,choice,2,4,3,2.0,5,5,1,1,5.0,6,2.0,5.0
108,176,w60e592a,Object,0.0,2649.0,0,3,2,choice,3,4,4,-1.0,5,5,3,3,-1.0,8,-1.0,-1.0
109,177,w60e592a,Food,0.0,1665.0,1,4,2,choice,1,4,-3,-3.0,5,5,1,2,-3.0,-6,-3.0,-3.0
110,178,w60e592a,Green,0.0,3997.0,0,5,2,choice,2,4,1,0.0,5,5,2,2,0.0,2,0.0,0.0
111,179,w60e592a,Blue,1.0,3137.0,1,6,2,choice,1,4,5,-3.0,5,5,1,2,-3.0,10,-3.0,-3.0
112,181,w60e592a,Yellow,0.0,3649.0,1,2,3,choice,2,4,-2,-3.0,3,3,2,3,-3.0,-4,-3.0,-3.0
113,182,w60e592a,Animal,1.0,979.0,1,3,3,choice,2,4,3,1.0,3,3,1,2,5.0,6,1.0,5.0
114,184,w60e592a,Scene,0.0,955.0,0,5,3,choice,3,4,2,-11.0,3,3,2,3,-15.0,4,-11.0,-15.0
115,185,w60e592a,Green,0.0,2456.0,0,6,3,choice,1,4,6,-7.0,3,3,1,2,-7.0,12,-7.0,-7.0
116,186,w60e592a,Green,1.0,1675.0,1,1,4,choice,3,4,2,6.0,3,3,2,2,10.0,4,6.0,10.0
117,187,w60e592a,Animal,0.0,1549.0,0,2,4,choice,1,4,4,5.0,3,3,1,2,5.0,8,5.0,5.0
118,188,w60e592a,Scene,1.0,1269.0,1,3,4,choice,2,4,2,2.0,3,3,1,2,5.0,4,2.0,5.0
119,189,w60e592a,Blue,0.0,1818.0,1,4,4,choice,1,4,-6,-7.0,3,3,1,1,-7.0,-12,-7.0,-7.0
120,191,w60e592a,Food,0.0,2983.0,1,6,4,choice,3,4,-4,-6.0,3,3,1,1,-7.0,-8,-6.0,-7.0
121,192,w60e592a,Scene,0.0,2183.0,1,1,5,choice,1,4,-3,-3.0,4,4,1,2,-3.0,-6,-3.0,-3.0
122,193,w60e592a,Blue,1.0,1828.0,0,2,5,choice,3,4,-1,6.0,4,4,1,1,-3.0,-2,6.0,-3.0
123,194,w60e592a,Green,1.0,2136.0,1,3,5,choice,1,4,5,-3.0,4,4,1,3,-3.0,10,-3.0,-3.0
124,195,w60e592a,Object,1.0,1605.0,1,4,5,choice,3,4,4,-1.0,4,4,2,2,-6.0,8,-1.0,-6.0
125,196,w60e592a,Red,1.0,2166.0,1,5,5,choice,2,4,2,1.0,4,4,2,2,1.0,4,1.0,1.0
126,197,w60e592a,Animal,0.0,1965.0,0,6,5,choice,2,4,5,8.0,4,4,1,2,4.0,10,8.0,4.0
127,199,wef591ef,Blue,0.0,2124.0,1,2,1,choice,1,1,-7,-7.0,1,1,1,2,-7.0,-14,-7.0,-7.0
128,201,wef591ef,Animal,1.0,3943.0,1,4,1,choice,3,3,3,3.0,1,1,1,2,-7.0,6,3.0,-7.0
129,204,wef591ef,Animal,1.0,2933.0,1,1,2,choice,1,1,8,8.0,6,6,1,1,8.0,16,8.0,8.0
130,205,wef591ef,Scene,1.0,2790.0,1,2,2,choice,2,2,2,2.0,6,6,2,2,2.0,4,2.0,2.0
131,206,wef591ef,Green,1.0,3174.0,1,3,2,choice,1,1,7,7.0,6,6,1,1,7.0,14,7.0,7.0
132,207,wef591ef,Yellow,1.0,948.0,1,4,2,choice,2,2,3,3.0,6,6,2,2,3.0,6,3.0,3.0
133,208,wef591ef,Red,0.0,2049.0,1,5,2,choice,3,3,-1,-1.0,6,6,3,3,-1.0,-2,-1.0,-1.0
134,209,wef591ef,Food,1.0,2480.0,0,6,2,choice,3,3,-1,-1.0,6,6,3,3,-1.0,-2,-1.0,-1.0
135,210,wef591ef,Yellow,0.0,3614.0,1,1,3,choice,2,2,-6,-6.0,6,6,2,2,-6.0,-12,-6.0,-6.0
136,211,wef591ef,Animal,0.0,3304.0,1,2,3,choice,2,2,-2,-2.0,6,6,2,2,-2.0,-4,-2.0,-2.0
137,212,wef591ef,Food,1.0,5027.0,1,3,3,choice,3,3,1,1.0,6,6,3,3,1.0,2,1.0,1.0
138,213,wef591ef,Green,0.0,4169.0,1,4,3,choice,3,3,-3,-3.0,6,6,3,3,-3.0,-6,-3.0,-3.0
139,214,wef591ef,Blue,1.0,2017.0,1,5,3,choice,1,1,3,3.0,6,6,1,1,3.0,6,3.0,3.0
140,215,wef591ef,Object,0.0,3306.0,1,6,3,choice,1,1,-5,-5.0,6,6,1,1,-5.0,-10,-5.0,-5.0
141,216,wef591ef,Object,,,0,1,4,choice,3,3,1,1.0,6,6,3,3,1.0,2,1.0,1.0
142,217,wef591ef,Blue,0.0,3475.0,1,2,4,choice,3,3,-1,-1.0,6,6,3,3,-1.0,-2,-1.0,-1.0
143,218,wef591ef,Food,0.0,3203.0,1,3,4,choice,1,1,-5,-5.0,6,6,1,1,-5.0,-10,-5.0,-5.0
144,219,wef591ef,Yellow,1.0,1475.0,1,4,4,choice,1,1,4,4.0,6,6,1,1,4.0,8,4.0,4.0
145,220,wef591ef,Scene,1.0,2465.0,1,5,4,choice,2,2,1,0.0,6,6,2,2,0.0,2,0.0,0.0
146,221,wef591ef,Red,0.0,2275.0,1,6,4,choice,2,2,-6,-7.0,6,6,2,2,-7.0,-12,-7.0,-7.0
147,222,wef591ef,Animal,1.0,1915.0,1,1,5,choice,2,1,3,3.0,6,6,2,2,3.0,9,6.0,6.0
148,223,wef591ef,Object,1.0,4352.0,0,2,5,choice,3,3,-6,-6.0,6,6,3,3,-6.0,-12,-6.0,-6.0
149,224,wef591ef,Green,0.0,1728.0,1,3,5,choice,1,1,-7,-7.0,6,6,1,1,-7.0,-14,-7.0,-7.0
150,225,wef591ef,Food,1.0,3081.0,1,4,5,choice,1,1,4,4.0,6,6,1,1,4.0,8,4.0,4.0
151,226,wef591ef,Red,1.0,3499.0,1,5,5,choice,3,3,2,2.0,6,6,3,3,2.0,4,2.0,2.0
152,227,wef591ef,Blue,1.0,3089.0,1,6,5,choice,2,2,6,6.0,6,6,2,2,6.0,15,6.0,6.0
153,228,wb51887d,Green,0.0,2854.0,1,1,1,choice,1,1,-2,5.0,4,4,1,1,5.0,-4,5.0,5.0
154,229,wb51887d,Scene,1.0,3343.0,1,2,1,choice,2,2,4,-3.0,4,4,1,1,-3.0,8,-3.0,-3.0
155,230,wb51887d,Red,1.0,5695.0,1,3,1,choice,2,1,6,-5.0,4,4,1,1,-3.0,-2,-3.0,-3.0
156,231,wb51887d,Blue,1.0,1425.0,1,4,1,choice,3,2,3,5.0,4,4,2,2,5.0,12,0.0,0.0
157,232,wb51887d,Food,0.0,1431.0,0,5,1,choice,1,1,4,0.0,4,4,1,1,0.0,8,0.0,0.0
158,233,wb51887d,Animal,0.0,2029.0,1,6,1,choice,3,2,-1,8.0,4,4,2,2,10.0,-10,10.0,10.0
159,234,wb51887d,Green,1.0,1257.0,0,1,3,choice,3,1,-1,-2.0,3,3,1,1,5.0,-6,5.0,5.0
160,235,wb51887d,Scene,1.0,2755.0,1,2,3,choice,2,1,8,-14.0,3,3,1,2,-7.0,-2,-7.0,-7.0
161,236,wb51887d,Red,0.0,2954.0,0,3,3,choice,2,2,5,-9.0,3,3,2,2,-9.0,10,-9.0,-9.0
162,238,wb51887d,Object,1.0,1144.0,0,5,3,choice,1,1,-3,5.0,3,3,1,1,5.0,-6,5.0,5.0
163,239,wb51887d,Food,,,0,6,3,choice,3,1,4,-2.0,3,3,1,1,-2.0,12,-2.0,-2.0
164,240,wb51887d,Blue,1.0,2860.0,1,1,4,choice,3,2,2,8.0,4,4,2,2,8.0,22,8.0,8.0
165,241,wb51887d,Yellow,0.0,3285.0,1,2,4,choice,1,1,-6,0.0,4,4,1,1,0.0,-12,0.0,0.0
166,242,wb51887d,Scene,1.0,1479.0,1,3,4,choice,1,1,3,0.0,4,4,1,1,0.0,6,0.0,0.0
167,243,wb51887d,Food,1.0,1682.0,0,4,4,choice,3,3,-3,8.0,4,4,3,3,8.0,-6,8.0,8.0
168,244,wb51887d,Green,1.0,1586.0,0,5,4,choice,2,1,-1,0.0,4,4,1,1,0.0,-10,0.0,0.0
169,246,wb51887d,Green,0.0,4565.0,1,1,5,choice,2,1,-4,2.0,6,6,2,2,2.0,-10,0.0,0.0
170,247,wb51887d,Yellow,1.0,3230.0,1,2,5,choice,3,3,1,2.0,6,6,3,3,2.0,2,2.0,2.0
171,248,wb51887d,Blue,0.0,2149.0,1,3,5,choice,1,1,-2,-2.0,6,6,1,1,-2.0,-4,-2.0,-2.0
172,249,wb51887d,Scene,1.0,3102.0,0,4,5,choice,2,1,-7,1.0,6,6,2,2,1.0,-16,-1.0,-1.0
173,250,wb51887d,Animal,0.0,3689.0,1,5,5,choice,3,3,-1,1.0,6,6,3,3,1.0,-2,1.0,1.0
174,251,wb51887d,Object,1.0,3434.0,1,6,5,choice,1,1,3,0.0,6,6,1,1,0.0,6,0.0,0.0
175,282,w58111ca,Blue,,,0,1,1,choice,1,2,3,5.0,5,5,1,1,5.0,6,5.0,5.0
176,284,w58111ca,Food,1.0,1721.0,1,3,1,choice,3,3,2,4.0,5,5,3,4,4.0,4,4.0,4.0
177,285,w58111ca,Red,1.0,2519.0,0,4,1,choice,2,2,-5,-14.0,5,5,1,1,-7.0,-12,-14.0,-7.0
178,286,w58111ca,Yellow,1.0,1934.0,0,5,1,choice,3,2,-3,9.0,5,5,3,3,9.0,3,14.0,14.0
179,287,w58111ca,Scene,0.0,3095.0,1,6,1,choice,2,1,-3,-12.0,5,5,1,1,-5.0,-3,-5.0,-5.0
180,288,w58111ca,Object,1.0,2678.0,0,1,2,choice,2,1,-5,-5.0,3,3,1,1,3.0,6,3.0,3.0
181,289,w58111ca,Green,1.0,1948.0,1,2,2,choice,3,1,1,11.0,3,3,1,1,3.0,6,3.0,3.0
182,290,w58111ca,Food,1.0,2994.0,0,3,2,choice,3,1,-3,2.0,3,3,2,3,-3.0,8,-6.0,-6.0
183,291,w58111ca,Yellow,0.0,2182.0,1,4,2,choice,2,1,-1,-14.0,3,3,1,2,-6.0,14,-6.0,-6.0
184,293,w58111ca,Blue,0.0,1230.0,1,6,2,choice,1,1,-6,3.0,3,3,1,2,3.0,-6,3.0,3.0
185,294,w58111ca,Yellow,1.0,3699.0,1,1,3,choice,1,1,7,6.0,5,5,1,1,6.0,14,6.0,6.0
186,295,w58111ca,Blue,1.0,730.0,0,2,3,choice,3,3,-5,-3.0,5,5,3,3,-3.0,-10,-3.0,-3.0
187,296,w58111ca,Red,1.0,1833.0,0,3,3,choice,2,1,-1,-1.0,5,5,1,1,-4.0,-8,-4.0,-4.0
188,297,w58111ca,Scene,0.0,2249.0,1,4,3,choice,1,1,-6,-5.0,5,5,1,1,-5.0,-12,-5.0,-5.0
189,298,w58111ca,Object,0.0,3410.0,0,5,3,choice,2,2,5,5.0,5,5,2,2,5.0,10,5.0,5.0
190,299,w58111ca,Animal,1.0,1805.0,1,6,3,choice,3,2,2,2.0,5,5,2,3,-1.0,-2,-1.0,-1.0
191,302,w58111ca,Green,0.0,5116.0,1,3,4,choice,1,1,-8,-5.0,3,3,1,2,-5.0,-16,-5.0,-5.0
192,305,w58111ca,Object,0.0,107.0,0,6,4,choice,3,1,5,-9.0,3,3,1,1,-5.0,-16,-5.0,-5.0
193,306,w58111ca,Scene,1.0,1932.0,1,1,5,choice,3,2,2,8.0,4,4,2,2,11.0,22,11.0,11.0
194,307,w58111ca,Red,1.0,2480.0,1,2,5,choice,2,2,5,4.0,4,4,2,2,4.0,10,4.0,4.0
195,309,w58111ca,Green,1.0,1537.0,1,4,5,choice,3,2,1,8.0,4,4,2,3,8.0,11,8.0,8.0
196,310,w58111ca,Food,0.0,814.0,0,5,5,choice,2,1,1,1.0,4,4,2,3,1.0,-1,-3.0,-3.0
197,314,wc9128ed,Red,0.0,3704.0,1,3,1,choice,1,2,-4,3.0,3,3,1,3,3.0,-4,3.0,3.0
198,315,wc9128ed,Green,1.0,2029.0,1,4,1,choice,2,2,6,4.0,3,3,1,1,2.0,12,4.0,2.0
199,316,wc9128ed,Animal,0.0,2819.0,0,5,1,choice,2,1,4,-2.0,3,3,1,1,2.0,1,2.0,2.0
200,317,wc9128ed,Yellow,1.0,3177.0,1,6,1,choice,3,2,4,-2.0,3,3,1,1,5.0,4,1.0,5.0
201,318,wc9128ed,Animal,0.0,2743.0,0,1,2,choice,3,2,2,3.0,3,3,2,3,-2.0,-6,-9.0,-9.0
202,319,wc9128ed,Blue,1.0,4356.0,1,2,2,choice,1,2,7,7.0,3,3,1,1,7.0,7,7.0,7.0
203,320,wc9128ed,Scene,1.0,4011.0,1,3,2,choice,2,2,3,12.0,3,3,1,1,9.0,18,9.0,9.0
204,323,wc9128ed,Green,0.0,1593.0,1,6,2,choice,3,2,-1,-5.0,3,3,2,2,0.0,0,0.0,0.0
