,index,wid,option,choice,rt,correct,trial_number,game,phase,n_true_memories,n_considered,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered
61,91,wca8e71a,Food,0.0,899.0,1,2,3,choice,3,2,-2,0.0,5,5,2,2
62,92,wca8e71a,Animal,1.0,947.0,0,3,3,choice,2,2,-7,5.0,5,5,2,2
63,93,wca8e71a,Blue,0.0,1100.0,1,4,3,choice,2,1,-3,-3.0,5,5,2,2
64,94,wca8e71a,Scene,1.0,2020.0,1,5,3,choice,1,1,6,5.0,5,5,1,2
65,95,wca8e71a,Red,1.0,588.0,1,6,3,choice,3,3,3,16.0,5,5,3,3
66,96,wca8e71a,Object,1.0,1749.0,0,1,4,choice,2,2,-2,-6.0,6,6,2,2
67,97,wca8e71a,Blue,0.0,1811.0,1,2,4,choice,2,1,-4,-4.0,6,6,2,2
68,98,wca8e71a,Yellow,0.0,2078.0,1,3,4,choice,3,2,-1,5.0,6,6,3,3
69,99,wca8e71a,Animal,1.0,1903.0,0,4,4,choice,3,2,-1,-3.0,6,6,3,3
70,100,wca8e71a,Green,0.0,939.0,0,5,4,choice,1,1,8,-4.0,6,6,1,1
71,101,wca8e71a,Food,1.0,1607.0,1,6,4,choice,1,1,6,6.0,6,6,1,1
72,102,wca8e71a,Animal,0.0,2031.0,1,1,5,choice,1,1,-9,-9.0,4,4,1,1
73,103,wca8e71a,Green,0.0,725.0,0,2,5,choice,3,2,3,-4.0,4,4,2,2
74,104,wca8e71a,Blue,0.0,1880.0,0,3,5,choice,2,1,2,0.0,4,4,2,2
75,105,wca8e71a,Scene,1.0,2076.0,1,4,5,choice,2,2,5,5.0,4,4,2,4
76,106,wca8e71a,Yellow,0.0,1643.0,1,5,5,choice,1,1,-6,-6.0,4,4,0,1
77,107,wca8e71a,Food,0.0,1605.0,0,6,5,choice,3,1,3,-6.0,4,4,1,1
78,108,wbcfaf6a,Red,,,0,1,1,choice,2,3,-3,-5.0,4,4,2,2
79,109,wbcfaf6a,Animal,1.0,3976.0,0,2,1,choice,3,4,-5,11.0,4,4,2,2
80,110,wbcfaf6a,Green,0.0,3081.0,0,3,1,choice,1,3,9,9.0,4,4,1,2
81,111,wbcfaf6a,Blue,1.0,4544.0,0,4,1,choice,3,3,-1,15.0,4,4,1,1
82,112,wbcfaf6a,Scene,0.0,3289.0,0,5,1,choice,2,3,3,1.0,4,4,1,1
83,113,wbcfaf6a,Food,1.0,3112.0,1,6,1,choice,1,4,7,7.0,4,4,1,1
84,114,wbcfaf6a,Red,1.0,5669.0,1,1,2,choice,1,2,3,3.0,4,4,1,2
85,115,wbcfaf6a,Yellow,0.0,5806.0,1,2,2,choice,3,2,-1,-14.0,4,4,2,2
86,116,wbcfaf6a,Animal,1.0,4361.0,0,3,2,choice,1,2,-2,-2.0,4,4,1,2
87,117,wbcfaf6a,Scene,0.0,2153.0,1,4,2,choice,2,2,-3,-4.0,4,4,1,1
88,118,wbcfaf6a,Food,1.0,2880.0,1,5,2,choice,3,2,2,1.0,4,4,1,1
89,119,wbcfaf6a,Green,1.0,2713.0,0,6,2,choice,2,1,-5,6.0,4,4,0,0
90,120,wbcfaf6a,Object,1.0,4726.0,0,1,3,choice,1,0,-9,-2.0,3,3,0,0
91,121,wbcfaf6a,Blue,0.0,3146.0,1,2,3,choice,1,2,-6,6.0,3,3,1,2
92,122,wbcfaf6a,Scene,1.0,2247.0,1,3,3,choice,2,2,5,6.0,3,3,1,2
93,123,wbcfaf6a,Red,1.0,3001.0,1,4,3,choice,3,2,1,-6.0,3,3,1,2
94,124,wbcfaf6a,Green,1.0,2423.0,1,5,3,choice,2,2,2,-1.0,3,3,1,1
95,125,wbcfaf6a,Animal,0.0,1541.0,0,6,3,choice,3,2,1,-5.0,3,3,2,2
96,126,wbcfaf6a,Yellow,1.0,2519.0,1,1,4,choice,3,2,2,7.0,4,4,2,2
97,127,wbcfaf6a,Animal,0.0,6053.0,0,2,4,choice,1,2,5,3.0,4,4,1,2
98,128,wbcfaf6a,Object,0.0,1942.0,1,3,4,choice,3,2,-1,-7.0,4,4,2,2
99,129,wbcfaf6a,Food,1.0,2208.0,0,4,4,choice,2,2,-6,3.0,4,4,1,1
100,130,wbcfaf6a,Green,0.0,5605.0,1,5,4,choice,2,2,-2,-4.0,4,4,1,2
101,131,wbcfaf6a,Blue,0.0,4257.0,1,6,4,choice,1,1,-2,-4.0,4,4,1,1
102,132,wbcfaf6a,Object,,,0,1,5,choice,3,2,-4,4.0,4,4,1,1
103,133,wbcfaf6a,Scene,1.0,2113.0,1,2,5,choice,1,1,8,6.0,4,4,1,1
104,134,wbcfaf6a,Blue,1.0,2248.0,0,3,5,choice,3,3,-2,4.0,4,4,2,2
105,135,wbcfaf6a,Food,0.0,4092.0,1,4,5,choice,2,3,-1,5.0,4,4,2,3
106,136,wbcfaf6a,Yellow,1.0,2673.0,1,5,5,choice,1,2,9,6.0,4,4,1,2
107,137,wbcfaf6a,Red,1.0,3644.0,0,6,5,choice,2,2,-4,5.0,4,4,1,2
108,138,w27e5a42,Blue,,,0,1,1,choice,2,1,2,5.0,4,4,1,1
109,139,w27e5a42,Red,0.0,2880.0,1,2,1,choice,3,3,-2,-2.0,4,4,3,3
110,140,w27e5a42,Scene,0.0,2681.0,0,3,1,choice,2,1,4,4.0,4,4,2,3
111,141,w27e5a42,Animal,0.0,3293.0,1,4,1,choice,1,2,-3,-3.0,4,4,1,1
112,142,w27e5a42,Food,1.0,3717.0,1,5,1,choice,3,1,3,-1.0,4,4,1,2
113,143,w27e5a42,Green,1.0,3893.0,1,6,1,choice,1,2,4,-3.0,4,4,0,1
114,144,w27e5a42,Red,0.0,4401.0,0,1,2,choice,1,1,5,5.0,5,5,1,1
115,145,w27e5a42,Blue,0.0,2207.0,1,2,2,choice,3,2,-2,-2.0,5,5,3,3
116,146,w27e5a42,Food,1.0,3306.0,1,3,2,choice,3,3,4,7.0,5,5,2,2
117,147,w27e5a42,Object,0.0,2373.0,1,4,2,choice,1,1,-3,-3.0,5,5,1,1
118,148,w27e5a42,Scene,0.0,4088.0,1,5,2,choice,2,2,-5,-5.0,5,5,2,2
119,149,w27e5a42,Green,1.0,4695.0,0,6,2,choice,2,2,-7,-4.0,5,5,1,1
120,150,w27e5a42,Animal,1.0,3745.0,0,1,3,choice,3,3,-2,-2.0,5,5,3,3
121,151,w27e5a42,Red,1.0,2924.0,0,2,3,choice,2,2,-4,8.0,5,5,2,2
122,152,w27e5a42,Food,0.0,1861.0,0,3,3,choice,1,0,4,-4.0,5,5,0,0
123,153,w27e5a42,Yellow,1.0,1519.0,1,4,3,choice,3,1,2,-15.0,5,5,2,2
124,154,w27e5a42,Scene,1.0,1960.0,0,5,3,choice,2,1,-7,1.0,5,5,2,2
125,155,w27e5a42,Blue,0.0,4363.0,1,6,3,choice,1,1,-3,2.0,5,5,1,1
126,156,w27e5a42,Scene,0.0,3378.0,0,1,4,choice,2,1,3,-4.0,4,4,1,1
127,157,w27e5a42,Animal,0.0,6360.0,1,2,4,choice,1,1,-9,2.0,4,4,1,1
128,158,w27e5a42,Red,0.0,1726.0,1,3,4,choice,1,2,-8,-5.0,4,4,0,0
