model,feature,choice,rt,n_memories,true_value,recalled_value,game_number
episodic,Red,0,4.0,5,-1,0.0,2
episodic,Green,0,2.5,2,-1,-2.4264865402896154,2
episodic,Red,0,3.5,4,-1,-1.553027437723692,4
episodic,Yellow,0,3.0,3,-3,-3.3506472694243103,4
episodic,Blue,1,4.0,5,3,3.6200470276822165,4
episodic,Object,0,2.0,1,-2,0.0,3
episodic,Animal,0,1.5,0,3,0.0,3
episodic,Scene,0,2.5,2,-1,-2.09688938676802,3
episodic,Object,0,4.5,6,-3,-4.801080270474763,5
episodic,Food,1,3.5,4,2,2.721782714610683,5
episodic,Animal,0,1.5,0,-1,0.0,5
episodic,Object,0,3.5,4,1,-0.19195618092486177,8
episodic,Animal,1,2.0,1,-3,0.6999608213386622,8
episodic,Food,0,2.0,1,1,0.0,8
episodic,Red,0,2.5,2,-1,-1.3258285446087794,3
episodic,Blue,0,3.0,3,-1,0.0,3
episodic,Green,0,1.5,0,1,0.0,3
episodic,Green,0,3.5,4,-1,-0.4128256814604925,5
episodic,Blue,0,3.0,3,-1,-0.6936341664321395,5
episodic,Yellow,1,4.5,6,3,3.3326297141503542,5
episodic,Animal,0,2.0,1,-1,0.0,3
episodic,Scene,1,3.5,4,3,1.6400558753590149,3
episodic,Food,0,3.5,4,-3,-2.6544919178227806,3
episodic,Animal,0,2.0,1,1,0.0,3
episodic,Scene,0,3.0,3,-3,-3.5735439786205196,3
episodic,Food,0,3.0,3,2,-0.2262216723861793,3
episodic,Yellow,0,2.0,1,2,0.0,4
episodic,Red,0,3.5,4,1,0.0,4
episodic,Blue,0,4.0,5,-4,-4.043695232331553,4
episodic,Food,1,2.5,2,1,0.8529975024434595,2
episodic,Object,0,2.5,2,-3,-3.1947161010473186,2
episodic,Scene,0,1.5,0,2,0.0,2
episodic,Blue,0,4.0,5,-2,-3.7494001826484356,3
episodic,Green,0,2.5,2,-2,0.0,3
episodic,Yellow,1,2.5,2,5,3.5374481289712976,3
episodic,Red,0,3.0,3,-1,0.0,2
episodic,Yellow,0,2.5,2,1,0.0,2
episodic,Green,1,3.0,3,1,0.9741844762675167,2
episodic,Animal,0,3.5,4,-3,-2.7722866410386655,8
episodic,Food,1,2.0,1,1,1.9015357526216994,8
episodic,Object,0,2.5,2,1,0.0,8
episodic,Yellow,0,1.5,0,3,0.0,7
episodic,Red,0,2.5,2,-4,-0.29584121606317215,7
episodic,Blue,0,3.5,4,2,0.0,7
episodic,Object,1,4.5,6,1,1.0784567074913998,7
episodic,Scene,1,3.5,4,1,0.6969387100285813,7
episodic,Animal,0,2.5,2,-4,0.0,7
episodic,Animal,0,2.5,2,-1,-1.3098334699239897,6
episodic,Food,0,2.5,2,2,-2.169767474654475,6
episodic,Scene,0,2.5,2,-1,0.0,6
episodic,Yellow,0,1.5,0,-3,0.0,7
episodic,Red,1,3.0,3,2,1.5336859828661475,7
episodic,Blue,0,2.0,1,2,0.0,7
episodic,Food,0,1.5,0,-2,0.0,8
episodic,Object,1,3.5,4,2,2.1898958568481564,8
episodic,Animal,0,2.0,1,1,0.0,8
episodic,Blue,1,3.5,4,3,2.5395778537193787,8
episodic,Yellow,0,2.0,1,-4,0.0,8
episodic,Red,0,1.5,0,-1,0.0,8
episodic,Animal,0,4.0,5,-2,-2.0210022953926488,4
episodic,Object,0,2.5,2,1,-1.3704542399276984,4
episodic,Food,1,3.5,4,3,0.24395605636035844,4
episodic,Food,0,2.5,2,1,0.0,6
episodic,Object,0,2.0,1,-1,0.0,6
episodic,Scene,0,3.5,4,2,-0.7578819979566644,6
episodic,Red,0,1.5,0,-1,0.0,6
episodic,Green,0,1.5,0,-2,0.0,6
episodic,Blue,1,4.0,5,1,0.6059729209448554,6
episodic,Animal,1,3.5,4,1,1.672183312973225,1
episodic,Scene,0,1.5,0,-2,0.0,1
episodic,Food,0,1.5,0,2,0.0,1
episodic,Scene,0,2.0,1,1,0.0,7
episodic,Object,0,2.5,2,1,0.0,7
episodic,Animal,0,2.5,2,-1,0.0,7
episodic,Scene,0,1.5,0,1,0.0,7
episodic,Food,1,2.5,2,1,0.9311585928832175,7
episodic,Object,0,3.0,3,-3,0.0,7
episodic,Animal,0,3.0,3,1,0.0,4
episodic,Object,0,2.5,2,-3,-1.9984362753781828,4
episodic,Food,1,2.5,2,3,2.0202177053177564,4
episodic,Yellow,0,1.5,0,-1,0.0,7
episodic,Red,0,2.5,2,2,-0.6991384589767886,7
episodic,Blue,0,2.5,2,-2,0.0,7
episodic,Yellow,1,3.5,4,3,0.19414673632418022,4
episodic,Red,0,2.0,1,-1,-0.4501809730361539,4
episodic,Blue,0,3.5,4,-1,-0.6869242448176622,4
episodic,Green,0,3.5,4,-1,-2.466319270150783,6
episodic,Red,0,2.5,2,-1,-1.7758035525126874,6
episodic,Yellow,0,2.0,1,1,0.0,6
episodic,Object,0,2.0,1,2,0.0,7
episodic,Scene,0,2.5,2,-2,-2.8436524889199086,7
episodic,Animal,0,2.5,2,1,0.0,7
episodic,Food,0,2.5,2,-1,0.0,2
episodic,Object,1,3.5,4,4,1.9302031083773543,2
episodic,Scene,0,4.5,6,-1,-0.9740558644758031,2
episodic,Animal,0,2.5,2,1,-1.1054786809083557,4
episodic,Object,0,2.5,2,1,0.0,4
episodic,Scene,0,3.5,4,-2,-2.3820169664600277,4
episodic,Red,1,3.0,3,2,1.7037107763283625,2
episodic,Yellow,1,2.5,2,1,1.2907606374182772,2
episodic,Green,0,2.0,1,-2,0.0,2
episodic,Blue,0,3.0,3,-4,-1.7764697180228506,7
episodic,Green,1,4.0,5,1,0.4568954967496752,7
episodic,Yellow,1,3.0,3,2,3.0124164755688128,7
episodic,Scene,0,3.0,3,1,0.0,7
episodic,Food,0,2.5,2,1,0.0,7
episodic,Object,0,3.0,3,-3,-1.7787169426397322,7
episodic,Green,0,3.5,4,-1,-1.2575842367529217,5
episodic,Red,0,2.0,1,-1,0.0,5
episodic,Yellow,1,4.0,5,1,1.0076424905750443,5
episodic,Food,0,2.5,2,-2,0.0,7
episodic,Object,0,3.0,3,1,0.0,7
episodic,Scene,1,2.5,2,2,3.0992113845777176,7
episodic,Red,0,2.5,2,1,0.0,4
episodic,Yellow,0,2.0,1,-3,0.0,4
episodic,Green,0,1.5,0,1,0.0,4
episodic,Scene,0,3.0,3,-1,-0.6025123268410755,1
episodic,Food,0,2.5,2,2,0.0,1
episodic,Animal,0,3.0,3,-1,-1.877455312825914,1
episodic,Red,1,2.5,2,-3,1.1069485851824397,8
episodic,Green,0,2.5,2,2,0.0,8
episodic,Blue,1,3.0,3,-1,0.17847207227415474,8
