,index,wid,option,choice,rt,correct,trial_number,game,phase,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value
57,68,w8f710ed,Object,0.0,6391.0,1,1,5,choice,3,-1,-1.0,6,6,3,3,-1.0
58,69,w8f710ed,Pattern,0.0,2983.0,1,2,5,choice,4,-2,-2.0,6,6,4,4,-2.0
59,70,w8f710ed,Sea,1.0,1072.0,1,3,5,choice,2,3,3.0,6,6,2,2,3.0
60,71,w8f710ed,Large,0.0,1967.0,1,4,5,choice,1,-1,-1.0,6,6,1,1,-1.0
61,72,w8f710ed,Object,,,0,1,6,choice,1,-1,-1.0,4,4,1,2,-1.0
62,73,w8f710ed,Land,1.0,4294.0,0,2,6,choice,3,-1,-1.0,4,4,2,3,0.0
63,74,w8f710ed,Small,1.0,3704.0,1,3,6,choice,2,4,1.0,4,4,2,3,1.0
64,75,w8f710ed,Pattern,1.0,1896.0,1,4,6,choice,4,5,1.0,4,4,2,3,1.0
65,76,w8f710ed,Animal,1.0,1238.0,1,1,7,choice,3,3,3.0,3,3,1,2,2.0
66,77,w8f710ed,Small,1.0,6277.0,1,2,7,choice,4,1,1.0,3,3,1,2,-1.0
67,78,w8f710ed,Solid,0.0,1576.0,1,3,7,choice,2,-2,-2.0,3,3,1,1,-1.0
68,80,wd697686,Land,1.0,6799.0,1,1,1,choice,1,2,1.0,3,3,1,4,1.0
69,81,wd697686,Solid,1.0,7056.0,1,2,1,choice,4,1,0.0,3,3,2,3,-1.0
70,82,wd697686,Large,1.0,2630.0,1,3,1,choice,2,4,4.0,3,3,1,2,2.0
71,83,wd697686,Animal,0.0,771.0,1,4,1,choice,3,-2,1.0,3,3,2,2,-1.0
72,85,wd697686,Large,,,0,2,2,choice,3,1,1.0,4,4,3,3,1.0
73,86,wd697686,Solid,0.0,955.0,1,3,2,choice,4,-3,-2.0,4,4,3,3,-1.0
74,87,wd697686,Animal,0.0,653.0,1,4,2,choice,2,-1,-1.0,4,4,2,2,-1.0
75,88,wd697686,Small,0.0,3049.0,1,1,3,choice,3,-1,-1.0,5,5,2,2,1.0
76,89,wd697686,Solid,1.0,2168.0,1,2,3,choice,1,2,2.0,5,5,1,1,2.0
77,90,wd697686,Sea,0.0,2843.0,0,3,3,choice,4,2,1.0,5,5,4,4,1.0
78,91,wd697686,Object,1.0,2854.0,1,4,3,choice,2,4,4.0,5,5,2,2,4.0
79,93,wd697686,Pattern,0.0,1485.0,1,2,4,choice,4,-1,2.0,3,3,3,4,0.0
80,94,wd697686,Land,0.0,611.0,0,3,4,choice,2,3,3.0,3,3,1,2,1.0
81,95,wd697686,Small,0.0,1469.0,1,4,4,choice,3,-3,0.0,3,3,2,2,2.0
82,96,wd697686,Pattern,1.0,2680.0,1,1,5,choice,4,1,2.0,2,2,1,1,2.0
83,98,wd697686,Small,0.0,528.0,1,3,5,choice,3,-1,0.0,2,2,1,1,2.0
84,99,wd697686,Animal,1.0,899.0,0,4,5,choice,2,-1,1.0,2,2,2,2,1.0
85,100,wd697686,Small,1.0,775.0,0,1,6,choice,4,-4,-3.0,3,3,2,2,0.0
86,101,wd697686,Object,0.0,1787.0,1,2,6,choice,3,-2,-5.0,3,3,1,1,-2.0
87,102,wd697686,Pattern,0.0,992.0,0,3,6,choice,2,2,-1.0,3,3,1,1,1.0
88,105,wd697686,Sea,0.0,584.0,1,2,7,choice,4,-3,-3.0,1,1,1,2,2.0
89,106,wd697686,Large,1.0,823.0,1,3,7,choice,3,6,6.0,1,1,1,1,2.0
90,109,w31bcaa3,Animal,1.0,1495.0,1,2,1,choice,4,1,3.0,3,3,1,2,-1.0
91,110,w31bcaa3,Large,1.0,1667.0,0,3,1,choice,2,-3,3.0,3,3,1,3,2.0
92,111,w31bcaa3,Land,1.0,3001.0,0,4,1,choice,3,-5,4.0,3,3,1,2,2.0
93,112,w31bcaa3,Animal,0.0,2540.0,0,1,2,choice,4,1,1.0,3,3,2,3,0.0
94,113,w31bcaa3,Sea,1.0,2564.0,1,2,2,choice,2,2,3.0,3,3,1,3,1.0
95,114,w31bcaa3,Small,0.0,3642.0,0,3,2,choice,3,2,3.0,3,3,1,3,-1.0
96,115,w31bcaa3,Pattern,1.0,1740.0,0,4,2,choice,1,-1,-1.0,3,3,1,3,-1.0
97,116,w31bcaa3,Pattern,0.0,2806.0,1,1,3,choice,3,-1,-1.0,4,4,3,4,-1.0
98,117,w31bcaa3,Land,0.0,4245.0,1,2,3,choice,2,-4,-4.0,4,4,1,3,-2.0
99,118,w31bcaa3,Large,1.0,2304.0,1,3,3,choice,1,2,2.0,4,4,1,3,2.0
100,119,w31bcaa3,Object,1.0,1490.0,0,4,3,choice,4,-1,-1.0,4,4,3,3,1.0
101,120,w31bcaa3,Small,0.0,2039.0,0,1,4,choice,2,3,3.0,5,5,2,3,3.0
102,121,w31bcaa3,Animal,1.0,2313.0,1,2,4,choice,4,3,3.0,5,5,3,3,5.0
103,122,w31bcaa3,Solid,1.0,2686.0,1,3,4,choice,3,2,2.0,5,5,3,4,2.0
104,123,w31bcaa3,Land,0.0,3679.0,1,4,4,choice,1,-1,-1.0,5,5,1,1,-1.0
105,124,w31bcaa3,Sea,0.0,2290.0,1,1,5,choice,1,-2,-1.0,4,4,1,3,-1.0
106,125,w31bcaa3,Large,0.0,2620.0,1,2,5,choice,2,-1,-3.0,4,4,1,2,-2.0
107,126,w31bcaa3,Solid,1.0,2506.0,1,3,5,choice,3,4,2.0,4,4,1,3,2.0
108,127,w31bcaa3,Object,1.0,2874.0,0,4,5,choice,4,-3,-2.0,4,4,4,4,-2.0
109,128,w31bcaa3,Land,1.0,2853.0,1,1,6,choice,3,1,4.0,4,4,2,4,2.0
110,129,w31bcaa3,Large,1.0,1954.0,0,2,6,choice,2,-1,2.0,4,4,2,2,2.0
111,130,w31bcaa3,Pattern,1.0,1052.0,1,3,6,choice,4,3,3.0,4,4,3,4,1.0
112,131,w31bcaa3,Object,0.0,1272.0,1,4,6,choice,1,-1,-2.0,4,4,1,2,-2.0
113,132,w31bcaa3,Small,0.0,1120.0,1,1,7,choice,1,-1,-1.0,4,4,1,3,-1.0
114,133,w31bcaa3,Pattern,1.0,1376.0,1,2,7,choice,4,1,1.0,4,4,3,4,0.0
115,134,w31bcaa3,Animal,1.0,1828.0,1,3,7,choice,2,1,1.0,4,4,2,3,1.0
116,135,w31bcaa3,Sea,0.0,1605.0,0,4,7,choice,3,2,2.0,4,4,2,4,1.0
117,137,wd3f2678,Sea,1.0,5540.0,1,2,1,choice,3,1,3.0,2,2,1,1,2.0
118,139,wd3f2678,Object,1.0,3442.0,0,4,1,choice,4,-1,2.0,2,2,2,3,1.0
119,141,wd3f2678,Solid,0.0,1598.0,1,2,2,choice,4,-1,-1.0,2,2,1,1,-2.0
120,146,wd3f2678,Pattern,1.0,3750.0,1,3,3,choice,3,1,-2.0,1,1,1,3,1.0
121,150,wd3f2678,Pattern,0.0,1957.0,0,3,4,choice,3,1,-2.0,1,1,1,2,1.0
122,152,wd3f2678,Large,1.0,1689.0,0,1,5,choice,4,-1,-1.0,4,4,3,3,-2.0
123,153,wd3f2678,Object,0.0,1602.0,1,2,5,choice,3,-2,-2.0,4,4,2,2,-3.0
124,155,wd3f2678,Land,0.0,1618.0,1,4,5,choice,2,-1,-4.0,4,4,1,1,-2.0
125,156,wd3f2678,Pattern,0.0,2351.0,1,1,6,choice,2,-3,-4.0,4,4,1,1,-2.0
126,157,wd3f2678,Land,1.0,1932.0,0,2,6,choice,4,-3,-4.0,4,4,2,2,-4.0
127,158,wd3f2678,Object,1.0,3306.0,1,3,6,choice,3,3,-2.0,4,4,2,2,-4.0
128,159,wd3f2678,Small,1.0,1632.0,1,4,6,choice,1,2,1.0,4,4,1,1,1.0
129,161,wd3f2678,Object,1.0,1641.0,0,2,7,choice,3,-4,0.0,2,2,1,1,1.0
130,163,wd3f2678,Small,0.0,2677.0,0,4,7,choice,4,1,1.0,2,2,1,1,1.0
