,index,wid,option,choice,rt,correct,trial_number,game,phase,multi_time,multi_dim,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,dim_shown,expected_dim
0,7,w593f4a8,Animal,1.0,4141.0,1,1,9,choice,After,Animal,3,1,1.0,5,5,2,2,None,False
1,8,w593f4a8,Object,0.0,5259.0,0,2,9,choice,After,Animal,1,2,2.0,5,5,1,2,None,False
2,9,w593f4a8,Yellow,1.0,4155.0,1,3,9,choice,After,Animal,3,1,2.0,5,5,3,3,None,False
3,10,w593f4a8,Red,1.0,3213.0,1,4,9,choice,After,Animal,1,1,1.0,5,5,1,2,None,False
4,11,w593f4a8,Blue,0.0,3043.0,1,5,9,choice,After,Animal,2,-3,-2.0,5,5,1,1,None,False
5,12,w593f4a8,Scene,0.0,1303.0,1,6,9,choice,After,Animal,2,-4,-2.0,5,5,2,2,None,False
6,21,w13e388b,Animal,0.0,1955.0,0,1,9,choice,After,Animal,1,1,-1.0,4,4,1,2,None,False
7,22,w13e388b,Food,1.0,3921.0,0,2,9,choice,After,Animal,2,-4,-3.0,4,4,1,2,None,False
8,23,w13e388b,Yellow,0.0,2451.0,0,3,9,choice,After,Animal,3,1,-2.0,4,4,2,2,None,False
9,24,w13e388b,Blue,1.0,2242.0,1,4,9,choice,After,Animal,1,1,1.0,4,4,1,1,None,False
10,25,w13e388b,Green,0.0,3319.0,1,5,9,choice,After,Animal,2,-4,1.0,4,4,1,2,None,False
11,26,w13e388b,Scene,1.0,738.0,1,6,9,choice,After,Animal,3,1,4.0,4,4,2,2,None,False
12,35,w479605b,Blue,0.0,3238.0,1,1,9,choice,After,Blue,1,-1,-1.0,3,3,0,1,None,False
13,36,w479605b,Object,1.0,2523.0,1,2,9,choice,After,Blue,1,1,2.0,3,3,0,0,None,False
14,37,w479605b,Scene,1.0,3294.0,1,3,9,choice,After,Blue,2,3,-2.0,3,3,2,2,None,False
15,38,w479605b,Green,1.0,3422.0,1,4,9,choice,After,Blue,3,1,1.0,3,3,1,1,None,False
16,39,w479605b,Red,0.0,1685.0,1,5,9,choice,After,Blue,2,-1,-1.0,3,3,2,2,None,False
17,40,w479605b,Animal,1.0,3377.0,0,6,9,choice,After,Blue,3,-5,-1.0,3,3,1,2,None,False
18,49,w383e1fe,Object,1.0,1223.0,1,1,9,choice,Before,Object,3,2,2.0,5,5,2,2,Object,True
19,50,w383e1fe,Green,0.0,3979.0,1,2,9,choice,Before,Object,2,-1,0.0,5,5,1,1,Object,False
20,51,w383e1fe,Red,0.0,1864.0,0,3,9,choice,Before,Object,3,2,-2.0,5,5,3,3,Object,False
21,52,w383e1fe,Yellow,0.0,1989.0,1,4,9,choice,Before,Object,1,-1,-1.0,5,5,1,2,Object,False
22,53,w383e1fe,Animal,0.0,709.0,1,5,9,choice,Before,Object,2,-4,-3.0,5,5,2,3,Object,False
23,54,w383e1fe,Scene,0.0,1009.0,0,6,9,choice,Before,Object,1,2,-2.0,5,5,1,1,Object,False
24,63,wc73f4d8,Food,0.0,1670.0,0,1,9,choice,Before,Food,2,1,3.0,4,4,2,3,Food,True
25,64,wc73f4d8,Scene,1.0,2804.0,1,2,9,choice,Before,Food,3,1,2.0,4,4,1,2,Food,False
26,65,wc73f4d8,Object,0.0,2844.0,1,3,9,choice,Before,Food,1,-1,-1.0,4,4,1,1,Food,False
27,66,wc73f4d8,Green,0.0,2991.0,0,4,9,choice,Before,Food,1,1,-1.0,4,4,0,0,Food,False
28,67,wc73f4d8,Yellow,1.0,1677.0,1,5,9,choice,Before,Food,2,4,4.0,4,4,1,1,Food,False
29,68,wc73f4d8,Blue,0.0,2653.0,1,6,9,choice,Before,Food,3,-4,1.0,4,4,3,3,Food,False
30,77,webf5097,Object,1.0,4692.0,0,1,9,choice,After,Object,2,-2,0.0,3,3,1,1,None,False
31,78,webf5097,Red,0.0,1794.0,0,2,9,choice,After,Object,1,1,-1.0,3,3,1,1,None,False
