"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"decay_rate_mu",0.0240901927900188,0.000327936344876609,0.0208871800400933,0.000718035567837137,0.00804290017980033,0.0184584912764057,0.034876308445333,0.0756225533730798,4056.77122315848,0.999665850233318
"decay_rate_sigma",0.0352748204583652,0.000532606395079697,0.0329930676615378,0.000961507407824768,0.0110036286519235,0.0261618213651436,0.0497159717038725,0.11868526863293,3837.36086228037,1.00032245721379
"decay_rate_raw[1]",0.788282642027203,0.00907232790223619,0.601924421532187,0.0305206409852321,0.310259021214264,0.671266307422296,1.13139529471668,2.26945041879761,4401.96363961186,0.999972175875255
"decay_rate_raw[2]",0.820261009628238,0.00929953980186361,0.624455826393274,0.0284044893554516,0.314524465307383,0.687825463792727,1.19839730861094,2.31210090946668,4509.00305016618,0.999544997517369
"decay_rate_raw[3]",0.735322001988145,0.00830568184805883,0.577943811105666,0.0286392129852928,0.278616250637116,0.593455321346968,1.06937469983418,2.13551571612894,4841.95392348238,1.00062234694749
"decay_rate_raw[4]",0.789659090360397,0.00825650156189961,0.60160901173286,0.0345271097613311,0.308174032184898,0.662541433615014,1.13348264352192,2.21819844772123,5309.29102344166,0.999680257722026
"decay_rate_raw[5]",0.766630260184782,0.00803715525901713,0.564906704699804,0.0302080222890613,0.316701973977112,0.65312793316833,1.10732102244125,2.114300749643,4940.24790451517,1.00020059930164
"decay_rate_raw[6]",0.716339246885946,0.00825135760320641,0.571828575865892,0.0293444382539302,0.268137325965824,0.578733086527093,1.03008813245646,2.12193857255302,4802.64947367137,0.999776080221078
"decay_rate_raw[7]",0.706970781285185,0.00794024637820514,0.569738252844228,0.0263046475073537,0.261806602653944,0.569806645537599,1.01333619973879,2.13622960550557,5148.52471799062,0.999521890748839
"decay_rate_raw[8]",0.814265550610026,0.00900598937434728,0.602204232159733,0.0427691749310025,0.333683116922862,0.693689168366759,1.17353062052302,2.23087053456208,4471.20668747932,1.00017379666745
"decay_rate_raw[9]",0.735864872977846,0.0077801163327796,0.566985929736888,0.0276723779660368,0.286473052115028,0.608342039604935,1.08099233641317,2.09606400333541,5310.95206368108,0.999711118227034
"decay_rate_raw[10]",0.725616415057733,0.00807509650338155,0.583010800806657,0.0252520074857772,0.262415284580893,0.593136085702837,1.05814177915019,2.17062322377487,5212.64031675771,0.999303193044428
"decay_rate_raw[11]",0.789953543395818,0.0090088619336602,0.593336187266443,0.0334562548750808,0.314199968957122,0.659354898334622,1.14310520582438,2.18415492179628,4337.72295588188,0.999748437709873
"decay_rate_raw[12]",0.807818692107056,0.0084185416033895,0.591819442537996,0.0357433116910332,0.340193637989614,0.702410784919044,1.13944144863781,2.23706594200615,4942.02265785884,1.00035679063483
"decay_rate_raw[13]",0.79485956582447,0.00810076860134656,0.59209746512991,0.0363726385341481,0.33076469147254,0.681419071057104,1.12376116261503,2.25449000177348,5342.36984277183,0.999756103769903
"decay_rate_raw[14]",0.784430342224864,0.00802423484256511,0.580641493036663,0.0277617828651473,0.326380311683472,0.671041329015615,1.12666517296403,2.15041604012488,5236.11135583388,0.999644558894797
"decay_rate_raw[15]",0.787649973378808,0.00828679093927643,0.610070877177716,0.0312155752206046,0.301418670477576,0.656383961236702,1.14466230691138,2.23249386618751,5419.85692796608,0.999883319905637
"decay_rate_raw[16]",0.804069127922904,0.00842897422880174,0.597589222797587,0.0399827736910925,0.323906011748653,0.681540420509642,1.15678859631411,2.25523764520545,5026.38859415327,1.00001314477278
"decay_rate_raw[17]",0.768829055576421,0.00822726794876691,0.584478238656474,0.02720708747856,0.300820575473954,0.646922374448407,1.12354267728285,2.1653011647501,5046.90823885921,0.999269553121115
"decay_rate_raw[18]",0.80636888094088,0.00839588301424037,0.597974168893136,0.0301284625450118,0.32232596344647,0.691745924825058,1.15680584409717,2.23383045396801,5072.61720640355,0.999250230609033
