"elpd_total","elpd_relevant","elpd_diff"
-10.6237870180199,-10.3951054302512,0.228681587768754
-8.87528243509627,-8.86667612065641,0.00860631443985405
-8.27781926937584,-8.33025522430126,-0.0524359549254143
-9.07553928922557,-9.07627436528685,-0.000735076061278761
-8.90362782474913,-8.91948069214841,-0.0158528673992784
-8.65004436528634,-8.65411082438613,-0.00406645909979275
-9.90085066893031,-9.89318444042917,0.00766622850113663
-8.27861030754255,-8.37373775560574,-0.0951274480631881
-8.81013159661874,-8.82475673422806,-0.0146251376093165
-8.33656090996447,-8.30488609673949,0.0316748132249742
-8.43864236853496,-8.46310438420791,-0.0244620156729489
-8.61474301529125,-8.62739579832297,-0.0126527830317205
-8.80278871106674,-8.88004477339802,-0.0772560623312764
-10.4594562633938,-10.5104201298375,-0.0509638664437855
-8.73793536569563,-8.89274895443884,-0.15481358874321
-9.07310969238836,-8.95511594154909,0.117993750839263
-9.64293109108991,-9.74268759721394,-0.0997565061240273
-8.43879780298117,-8.43291530684633,0.00588249613484138
-8.28655053882318,-8.36879620217773,-0.0822456633545539
-8.4531434678524,-8.35037291963844,0.102770548213954
-8.3516625283077,-8.64608764506002,-0.294425116752322
-9.69017446324167,-9.58019942357767,0.109975039664
-10.2041299187847,-10.0871893450733,0.116940573711402
-9.51681286860282,-9.35013134471201,0.166681523890814
-9.92754081977785,-9.7035513811024,0.223989438675451
-10.2495987512798,-10.1018498967211,0.147748854558699
-9.23782459227419,-9.35653009978587,-0.118705507511686
-9.62716049026972,-9.54889802607,0.0782624641997192
-8.30061699940897,-8.40447958485667,-0.103862585447702
-9.41977705402784,-9.41287253850166,0.00690451552618043
-7.96018071138947,-7.90211806840419,0.0580626429852744
-7.93332082405949,-7.88351049821255,0.0498103258469396
-8.14967283150989,-8.19187452282909,-0.0422016913191978
-7.87420058203121,-7.88428128479406,-0.0100807027628562
-9.6858553165948,-9.75033392378284,-0.0644786071880397
-8.35727978181862,-8.38519899490201,-0.0279192130833845
-9.537075424563,-9.47056427313644,0.0665111514265568
-7.83847168489898,-7.7846531526825,0.0538185322164795
-7.8039917649018,-7.8059744543241,-0.00198268942229163
-9.65308364138312,-9.6618749622464,-0.00879132086327417
-7.87898327685646,-7.81431529359266,0.0646679832638037
-7.91194499785817,-7.90894176002027,0.00300323783790102
-7.85865203032842,-7.81510573369304,0.0435462966353821
-10.547477419773,-10.5585255612551,-0.0110481414820978
-7.87260365473733,-7.83060068415512,0.0420029705822076
-11.3562245877564,-11.2567182051327,0.0995063826237441
-7.80862069875164,-7.82612616390733,-0.0175054651556952
-9.03404730947151,-8.83572807986528,0.198319229606231
-9.94181420514447,-9.89936812909466,0.04244607604981
