"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"a1",0.680931081141831,0.0140057989262682,0.2307007131844,0.320699282635426,0.518248361840725,0.647285508338935,0.810365316984164,1.21869351616478,271.320182140217,1.00915629669356
"a2",14.0444666750681,0.0834572242114493,3.14390442696956,8.29373233259767,11.8091707376468,13.878319658848,16.1530241506332,20.6129023994777,1419.09280637038,0.999943848240878
"learning_rate[1]",0.0345197750571179,0.000738761205099461,0.0269152463629131,0.000671781405052117,0.0144829015046239,0.0292940363370683,0.0481888057393164,0.100148355596736,1327.35948229925,1.0043915158065
"learning_rate[2]",0.0307954053676946,0.000796028349804458,0.0284880275361907,0.000123355689756415,0.00978526654461107,0.02375604890997,0.0431727193077635,0.104134821651779,1280.7598095431,1.00072147614397
"learning_rate[3]",0.127294590541209,0.00196067441731478,0.0654012602003894,0.0321833412780347,0.0785781683238411,0.116725600436175,0.165883901496839,0.279282325782548,1112.65690883681,1.0028463100247
"learning_rate[4]",0.0335079341857399,0.00083585312322507,0.0318646510844099,0.000260854556854795,0.0103737867079269,0.0255713599425161,0.0473957997876506,0.116246987650515,1453.31044734167,1.00077983474814
"learning_rate[5]",0.028132812364402,0.000670774742955175,0.027715927765213,0.000162336812174303,0.00752026221187081,0.0201552726141943,0.0406285796592878,0.0997262266022622,1707.2826957162,1.00139888995027
"learning_rate[6]",0.0237072400856675,0.00066494570771534,0.0279569570145007,5.12348631686308e-05,0.00390813080906641,0.0142637004346709,0.0336991048960449,0.0960011033383205,1767.69536627896,1.00069685131471
"learning_rate[7]",0.0397957642925552,0.000725459179017907,0.0274971502136297,0.000715033388454828,0.0196611218426606,0.0355904274668421,0.0550065495400587,0.105892705731918,1436.64482298331,1.00086224683818
"learning_rate[8]",0.0264567996665195,0.000631613587380513,0.0245919031126343,0.000186417511716052,0.00807891982742555,0.0203872358254732,0.0371491605740484,0.0935804303478829,1515.9376878954,1.00284473491271
"learning_rate[9]",0.0111371978938828,0.000444047925385033,0.0165772831156508,1.96522535314338e-05,0.0014421077973267,0.00547259968771335,0.0142377565664012,0.0553345375404209,1393.69267856725,1.00233726669406
"learning_rate[10]",0.0211373152206512,0.000648174760572119,0.0240826310993226,5.29175013463188e-05,0.00439288033292599,0.0138590452252325,0.0299508094146297,0.0820536905092072,1380.45938755173,1.00084178630477
"learning_rate[11]",0.074443224868134,0.00141999677698774,0.0510827306407985,0.00394586293063635,0.0366428691374649,0.0646959586613187,0.101885605799881,0.19925640337911,1294.11684944338,1.00165845779903
"learning_rate[12]",0.02347598382386,0.000732006374758265,0.026889267394804,6.27746672515608e-05,0.00479790911483046,0.0150055073664317,0.0325350310347245,0.0987155700305413,1349.36118550872,1.00409627970584
"learning_rate[13]",0.0120619517205219,0.000422967585947129,0.0189625604783004,1.23414401626653e-05,0.00139821630695401,0.00541132468470484,0.0150862158009247,0.0620767743347586,2009.92468809724,1.00056605366926
"learning_rate[14]",0.0518938458671853,0.00104920329784672,0.0362414305689044,0.000855926568239322,0.0241124128543647,0.0468162686964777,0.0727244882410408,0.13502582357935,1193.13990415289,1.00388286698192
"learning_rate[15]",0.0418266035317539,0.000873843029878833,0.0309285500698466,0.000723888285276115,0.0187437872337865,0.0357469992840488,0.0581271502979274,0.117333662201847,1252.71497365547,1.00155407521194
"learning_rate[16]",0.102584209319316,0.00156341528529017,0.0598516847458943,0.00104693108283556,0.0572967605232348,0.100932711260216,0.142853136311938,0.229435097775589,1465.56151504902,1.00145821980486
"learning_rate[17]",0.0173691831121303,0.00058446658744613,0.0218428812441102,5.06435112944267e-05,0.0028851050034175,0.0101072226117706,0.0242888856567555,0.0747776829904161,1396.69144148209,1.00208636022153
"learning_rate[18]",0.028242427431006,0.000590195731564503,0.023892624392605,0.000399774078953808,0.010795289555135,0.023161005789494,0.039808161060005,0.0851523429257881,1638.83633042853,1.00066651938011
"learning_rate[19]",0.0218320903567494,0.000584270270130467,0.0238250983062862,7.31056760629223e-05,0.00489939797236913,0.0151373496826315,0.0312443150524339,0.0801395149191894,1662.80693027887,1.00052891353206
"learning_rate[20]",0.0436322204781162,0.00101288394833909,0.0403994629554367,0.000275981488808811,0.0137104435706638,0.0327014487561439,0.0618013146748778,0.147757339173353,1590.85942918655,1.00123568225588
"learning_rate[21]",0.0897139270057138,0.00111243180815252,0.0694234774773518,0.00185043858176001,0.0371849880845169,0.0753590267759852,0.126569884417816,0.259067175691228,3894.62754827856,0.999471583130961
"learning_rate[22]",0.0129971727699782,0.000446031531726832,0.0188039169733147,2.11197642718808e-05,0.0018884334693961,0.00682086615129419,0.0169153464387288,0.0611184605925092,1777.31958388368,1.00126173382086
"learning_rate[23]",0.0159038081792558,0.000487259073311233,0.0204721364021557,2.72207511359651e-05,0.00253199258438605,0.00918860977840553,0.0220941408422746,0.0657842655597485,1765.25098783116,1.00227913324478
"learning_rate[24]",0.0135187991921671,0.000550035437188451,0.0216534051741458,1.30596409112749e-05,0.0014843481799667,0.00654236466819951,0.0170899840323227,0.0680728022032138,1549.7836089862,1.00148227251055
"learning_rate[25]",0.0317443461906811,0.000733009525483633,0.0295847469540346,0.000188174045506574,0.00950182003075673,0.0245359728220213,0.0453431668626596,0.10669505408124,1628.98273459299,1.0012715085793
"learning_rate[26]",0.0258759719405883,0.000629831831800665,0.0271422587569533,7.51020179394583e-05,0.00622248081906199,0.0184222407798259,0.0361486097285231,0.0945989151846278,1857.13194553557,1.00015914238357
"learning_rate[27]",0.0846342019235534,0.00104912420111979,0.0367948973567063,0.0247757002775793,0.057533994706502,0.0801983813855981,0.107487142113407,0.167209782443684,1230.04607824921,1.00352440744944
"learning_rate[28]",0.0137393860333732,0.000489793567832963,0.0209728940158329,2.00163765877375e-05,0.00187052349726838,0.00693622692653723,0.0169535011733732,0.068410135784028,1833.54076227181,1.0012968409101
"learning_rate[29]",0.0555284592202422,0.00119727149222776,0.0399843872552305,0.00141972076174257,0.0259037380038066,0.0484498840960351,0.0781599934064203,0.152870099386441,1115.31002635249,1.00419537078515
"learning_rate[30]",0.0713685350069601,0.00112145354826734,0.0418043503201157,0.0103660759763135,0.0408794075085556,0.0645746546376654,0.0936500085237008,0.171307929026467,1389.56983618155,1.00278513575584
"learning_rate[31]",0.0262760775712074,0.000791906977700666,0.0329993631827724,7.35554616701947e-05,0.00387311596002003,0.0148694611078591,0.0363585102244036,0.115484968431839,1736.45198352296,1.00012679884372
"learning_rate[32]",0.0243977822781771,0.000665329380425425,0.0254343125021043,4.26103831326725e-05,0.00565743198667856,0.0171567991038846,0.0349302223406194,0.0901418830445605,1461.39158432121,1.00076236638716
"learning_rate[33]",0.0261986341043168,0.000638097554004592,0.0223444310981464,0.000283185287847034,0.0100097649219828,0.0211796280763482,0.0363370279633103,0.0819430549719312,1226.20884300029,1.00130585163545
"learning_rate[34]",0.0149144507203111,0.000580864213438095,0.0231246700382746,2.07824834563131e-05,0.00175271129596967,0.00685905233690632,0.0187843839894595,0.0783711318717231,1584.89993507598,1.00033682924401
"learning_rate[35]",0.047890355218166,0.00101805743672503,0.0582310160474179,6.80986616529019e-05,0.00716178539709311,0.0272267404983792,0.0659425252307834,0.217139030132875,3271.62994476726,1.00124972083235
"learning_rate[36]",0.0781816218031568,0.00170976291197006,0.0507236129086968,0.00251389819790885,0.0394642612519333,0.0698447806682956,0.109284471656143,0.193893336157106,880.133547231228,1.00263147302629
"learning_rate[37]",0.0393197225772328,0.00118580104328812,0.0426844175374592,6.14024972610891e-05,0.00869821121169891,0.026750339739924,0.0550176268553965,0.153734203106576,1295.73163708018,1.00290613650483
"learning_rate[38]",0.0310447589117108,0.000831877648311363,0.0294953535961338,0.000147012985968371,0.00901534978574568,0.0231237385969622,0.0441830489368822,0.107233005804108,1257.15348334421,1.00086514253907
"learning_rate[39]",0.0645732001897312,0.00108855477726034,0.0377995514571812,0.00709107528615155,0.0379602221235499,0.0581899115310407,0.0842043882964578,0.157828306727583,1205.79288403836,1.00486671146412
"learning_rate[40]",0.0348109521636275,0.000760908473851348,0.0288965534791458,0.000397693564035099,0.0127367440887216,0.0285604169267581,0.0492024180101753,0.106014699598402,1442.20585024945,1.00190628778568
"learning_rate[41]",0.0231767604662256,0.000672884140547328,0.0232575277313082,3.70554281370692e-05,0.00612146669206298,0.0171402954210476,0.0331260689108923,0.080605885548471,1194.66601720437,1.00142225273872
"learning_rate[42]",0.0134083845016783,0.000546212081032032,0.0187400987048058,1.55933644647078e-05,0.00180684473406307,0.00705619991586396,0.0175289410057896,0.0637546266563683,1177.12110090585,1.00298754913526
"learning_rate[43]",0.03055685671307,0.000828370811976832,0.0304122738275321,0.000152803274525438,0.00817984815752013,0.0220310294622475,0.043993259553938,0.107966757728466,1347.87062467211,1.00055760352049
"learning_rate[44]",0.0184234811217558,0.000604095442696798,0.0239153915501671,2.70844065639607e-05,0.00312910636332715,0.0101511005809494,0.0244273108059865,0.0809710310793218,1567.27018730857,1.00103810482263
"learning_rate[45]",0.0232153556958003,0.000804872626039457,0.0284700116285717,3.54330277511062e-05,0.00378481691972408,0.0138150426365473,0.0321799837032803,0.0998464611575819,1251.18340281643,1.00471542786765
"learning_rate[46]",0.0658544645502642,0.000929173176341274,0.0314103167913331,0.0185973938595557,0.0435768514992411,0.0613099822054684,0.0828514227686056,0.138390612802258,1142.75019782446,1.00184500392803
"learning_rate[47]",0.0291298274565583,0.000774802477376617,0.0282692052794479,0.000157707308427438,0.00815987295172321,0.0214010697216001,0.0418094258699977,0.102824552415798,1331.20578938104,1.00042469588559
"learning_rate[48]",0.0168082832710583,0.000627465282700073,0.0223634152600757,2.36025699675831e-05,0.00273080358467439,0.00986862211037484,0.0224291447719454,0.072466921022321,1270.27237434183,1.00393996700083
"learning_rate[49]",0.0406734705623629,0.000947014246570132,0.0317470275284328,0.000684945110557136,0.0170023595016286,0.0345623041445505,0.0567249801360578,0.119013543765584,1123.81056933871,1.0024936626302
"learning_rate[50]",0.049663202099452,0.000742193924820063,0.0286010291596968,0.00399594463497852,0.029443585488949,0.0460262092674736,0.0660595832125211,0.11547105829089,1485.00710402426,1.00166327659652
"learning_rate[51]",0.0185124706966875,0.00057376446413324,0.0206031662631226,3.68805990078136e-05,0.0039247912908841,0.0121955638604757,0.0264195216497312,0.0734900629013899,1289.43852203613,1.00173207716475
"learning_rate[52]",0.0422104537477221,0.000905315240084168,0.0332770033095137,0.000713130466646197,0.0171724583704239,0.0356778973736045,0.0590362043911716,0.124440387311473,1351.10392962706,1.0027439990299
"learning_rate[53]",0.0320736071846424,0.000882139159778478,0.0279300574944615,0.000150892572437703,0.0113000213395997,0.0257513140656542,0.0452824338749066,0.10122944531342,1002.46554823353,1.0063643605741
"learning_rate[54]",0.0251787780103844,0.000670522784190082,0.0240620401101937,8.60633669432163e-05,0.00729705702502207,0.0192906280915862,0.0355306268652549,0.0874028368430243,1287.76854703442,1.00151569656219
"learning_rate[55]",0.0906442457753173,0.00106695758782199,0.0446427459222671,0.0198122476639131,0.0589458372669744,0.0844843129808817,0.11683930168842,0.190138435732262,1750.68288794737,1.00367639043669
"learning_rate[56]",0.0401752359677998,0.000916032155580617,0.0314411163078123,0.000529239708297071,0.0172198539757116,0.0337732072824081,0.0557290942962673,0.117285958686417,1178.07916750453,1.00178889707968
"learning_rate[57]",0.0777194193490023,0.000948301988202262,0.034269486795556,0.0261016933661582,0.0525215560880613,0.0728834632482222,0.0976344719399283,0.154788997704402,1305.93595540331,1.0019254360768
"learning_rate[58]",0.0212563770830115,0.000645266824204457,0.0218896335031693,8.45188386380884e-05,0.00524444496810917,0.0151077205743003,0.0304526878347224,0.0771900936670649,1150.79590243971,1.00193037462533
"learning_rate[59]",0.124381565646443,0.00116813991141411,0.0452956130730643,0.0479109587654877,0.0906792757095306,0.121320311594374,0.153193291636354,0.221100191944875,1503.56621718971,1.00137788599346
"learning_rate[60]",0.0181620958079666,0.000590478082806242,0.0226297988593101,2.49627537074028e-05,0.00296106051091751,0.0109144475031535,0.0246260218325775,0.0820831812270271,1468.77010084134,1.00127619217846
"learning_rate[61]",0.0302761461635945,0.000736742307525819,0.0313879604983416,0.000148446241594877,0.00731517841188588,0.0218193295353171,0.0423968925740839,0.111969700931453,1815.07667059442,1.00181877679676
"learning_rate[62]",0.0292995378371644,0.00082683168175754,0.0291973318417065,0.000117454621143763,0.00764064689470598,0.0210129239236039,0.0420943681467209,0.104408307095592,1246.95882563159,1.00107734934654
"learning_rate[63]",0.0393156273462164,0.00104669467439846,0.0356044150628688,0.000245106230571475,0.0127098629005941,0.0301558938901677,0.0558470826509083,0.131145179341502,1157.091442059,1.00120861727582
"learning_rate[64]",0.0581186002209103,0.00107276596594313,0.0615882917653908,0.000128495484692879,0.0129743994809165,0.0386248022298038,0.0836543707744868,0.223807453729584,3295.99347554847,1.00035842868255
"learning_rate[65]",0.0678606240865778,0.00106814666995923,0.0350621765212532,0.0108063270543138,0.0433516129925893,0.0629918337597308,0.0878705103512433,0.149955330959958,1077.49673290576,1.00209550636646
"learning_rate[66]",0.0199796060766274,0.000655534079476373,0.0256533083987565,1.75390988556771e-05,0.00303522734816318,0.0111891902189571,0.0272782483833262,0.0862212738678566,1531.42670309954,1.00286627332853
"learning_rate[67]",0.0260691598996835,0.000727317071221541,0.0302386659015835,5.97495599637757e-05,0.00484081275316422,0.0154252910334354,0.0361834383952066,0.109724413478729,1728.5330620059,1.00061494447576
"learning_rate[68]",0.0403735002878818,0.000850820547668866,0.0343394930070177,0.00030554712964332,0.0137472855026046,0.0331715685898435,0.058360562973899,0.1256994558199,1628.96524432054,1.00110823948626
"beta_mu[1]",0.208881515735582,0.00113825150073047,0.061900149904432,0.0918334892289986,0.166826104928275,0.208080537147742,0.249829658803314,0.334273033788482,2957.37868462389,1.00070087756389
"beta_mu[2]",2.40144902944634,0.0452439521692642,0.876380113995447,1.19974028987882,1.77832824746228,2.245831607208,2.83967756160461,4.58338934168249,375.200976155226,1.00811690411506
"tau_unif[1]",0.0643750821400289,0.00119404792801523,0.0377860380095966,0.00408701537391054,0.0342605470105653,0.0618197888195614,0.0913285129379,0.143548422497495,1001.42676725717,1.00520307346756
"tau_unif[2]",0.2276125569056,0.00519696820499814,0.167283271133271,0.00937088692865102,0.0959576820763906,0.195700779585379,0.326781497925012,0.637268199787255,1036.10770878589,1.00030372759101
"Lcorr[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"Lcorr[1,2]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr[2,1]",-0.0221499235800747,0.00942217428388062,0.441124885046421,-0.821935039967508,-0.358258347523113,-0.0198063329120945,0.309782649275731,0.787277333542099,2191.90057189262,1.00124495398498
"Lcorr[2,2]",0.88660919944736,0.00298700527082783,0.137461688675448,0.496362712461757,0.831114507133244,0.94150655028217,0.986077649197283,0.999829590908361,2117.83134429886,1.00189251233295
"z[1,1]",0.655254384799174,0.0151756908495533,0.954050627319786,-1.27279533350657,0.0386590429959234,0.652124901274026,1.29396732910014,2.46193323113407,3952.26358869789,0.999960337043888
"z[1,2]",0.12531260816626,0.0125370476049188,0.905523788724588,-1.6987809390579,-0.454458348054245,0.134171277050601,0.7383858328447,1.89212462607455,5216.85995209424,0.999066457264719
"z[1,3]",-0.211224648691957,0.0156313286669514,0.939417037731757,-2.02825384070021,-0.864171724454492,-0.226192531028866,0.414257088779251,1.63723233820801,3611.81149232959,0.999776744989062
"z[1,4]",-0.335585903619715,0.014648835312599,0.947356271724189,-2.229578136076,-0.945793165213548,-0.339663340970776,0.275887498365475,1.59198603235973,4182.35098395874,0.999281982717827
"z[1,5]",-0.000961053214764247,0.0124786827200124,0.918640429123545,-1.87684197505969,-0.608275250794278,0.000306941889485056,0.598706277733544,1.77454795602226,5419.43016347017,0.999257910501097
"z[1,6]",0.289312974046843,0.0158726918031897,0.999159380006711,-1.77393930864258,-0.348574800488212,0.302645233468742,0.965735919056471,2.2394476450071,3962.49176112963,1.00027032558701
