"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"decay_rate_mu",0.00894285104422759,0.000119690279195775,0.00824456383296941,0.00022078230325282,0.00287785442624215,0.00659777190467629,0.0125977843604852,0.0309118597406109,4744.79670711023,0.999813520612069
"decay_rate_sigma",0.0131585318362663,0.000196513216736755,0.0126176507593165,0.000267315674605418,0.00399432886319763,0.00951585030469537,0.018582709353616,0.0451404439524474,4122.62161193222,0.999990635130305
"decay_rate_raw[1]",0.776139025193891,0.00880935705976064,0.592008462073059,0.026490618523694,0.318023439794479,0.646367279205979,1.12224607097986,2.17132576612036,4516.14006469393,0.999561206921583
"decay_rate_raw[2]",0.811717317756425,0.00811881766708033,0.599989958642329,0.0331067537072604,0.329408025555255,0.693429127883708,1.17358952041744,2.21499272776005,5461.37990587179,0.999677660884917
"decay_rate_raw[3]",0.775910994948025,0.00845053421385969,0.589588650016418,0.0248193429310366,0.31454006001817,0.647423400736027,1.11472174554682,2.18352208356478,4867.76832161022,0.999914262507708
"decay_rate_raw[4]",0.867735414498469,0.00943592225429142,0.634751843378445,0.0400641459810844,0.364776206802591,0.747816639349259,1.23135004148654,2.35321603212597,4525.21516315505,0.999920279125884
"decay_rate_raw[5]",0.792094846491669,0.00850022611964578,0.585678107074921,0.0376086305186187,0.321665104250881,0.683691032629727,1.1215014967356,2.17918625019454,4747.41308853848,0.999870489011405
"decay_rate_raw[6]",0.805248201551042,0.00923592939481187,0.617347954444248,0.0345492301985817,0.31089673761144,0.666931817258679,1.16570416992347,2.30639452556138,4467.8524116046,0.999746828140912
"decay_rate_raw[7]",0.718891943940498,0.00854748316349231,0.564749871165167,0.0218036063437366,0.270205438023059,0.598537079142907,1.03008727485233,2.10771704148089,4365.51789705196,0.999360756343942
"decay_rate_raw[8]",0.777307802769672,0.00845631060588221,0.600393785331761,0.0352642789929896,0.297469112311617,0.653729459530701,1.12199585229115,2.23907494643492,5040.92833644968,0.999724694444586
"decay_rate_raw[9]",0.799502154138326,0.00906986347815789,0.591387910680814,0.0367514337143574,0.330231529640747,0.683719894292112,1.13777026738379,2.22489486378092,4251.51175915216,1.00040953215761
