"","elpd_mem","elpd_true","elpd_diff"
"1",-1.23997903625748,-0.500844019280276,-0.739135016977207
"2",-0.537148956635013,-0.276557878394485,-0.260591078240529
"3",-0.105295625135074,-0.426742035198152,0.321446410063078
"4",-1.16850779224401,-0.783050821392668,-0.385456970851341
"5",-2.15613376513613,-0.241585022139283,-1.91454874299685
"6",-0.894261015164591,-0.371241372565663,-0.523019642598928
"7",-0.718330292011627,-0.515348396646573,-0.202981895365054
"8",-0.568483025239331,-0.779958835737468,0.211475810498137
"9",-0.365155638445343,-0.691709681686342,0.326554043240998
"10",-0.392827691596317,-0.691709681686342,0.298881990090025
"11",-0.165263599607622,-0.501365092514639,0.336101492907018
"12",-0.397888937106935,-0.201758270537999,-0.196130666568936
"13",-0.159957900958466,-0.385352428893264,0.225394527934799
"14",-0.263960927618076,-0.26100523970619,-0.00295568791188572
"15",-0.258760900578585,-0.217873363584729,-0.0408875369938553
"16",-0.791005431558085,-0.505930837851842,-0.285074593706242
"17",-0.357092041905154,-1.1644652181654,0.807373176260248
"18",-0.640225009912228,-1.39272054314231,0.752495533230078
"19",-0.270775779855994,-0.201758270537999,-0.0690175093179946
"20",-0.589796343440058,-0.704564331045508,0.114767987605449
"21",-0.584233145965373,-0.770951498111163,0.18671835214579
"22",-0.589796343440058,-0.427370753478069,-0.162425589961989
"23",-0.575209102532212,-0.636366960190473,0.0611578576582605
"24",-0.83161061136108,-0.683977615808989,-0.147632995552091
"25",-0.927603549047022,-0.448326434909482,-0.479277114137541
"26",-0.491281854740496,-0.745218569675972,0.253936714935476
"27",-0.242429102465534,-0.290280589445004,0.0478514869794697
"28",-0.574242062781698,-0.37344021693106,-0.200801845850638
"29",-1.49928627121998,-1.89922210434799,0.399935833128009
"30",-0.393556362434303,-0.488517889911344,0.0949615274770403
"31",-0.300322843564667,-0.349034088736342,0.0487112451716749
"32",-0.490825841644087,-0.973723400202996,0.482897558558909
"33",-0.256548791837286,-0.403378137169955,0.146829345332669
"34",-0.451579686342945,-0.439255778696729,-0.0123239076462163
"35",-0.503354225716338,-0.950714093305086,0.447359867588748
"36",-1.0277696133324,-0.641890427707704,-0.3858791856247
"37",-0.343429335709042,-1.61595929762342,1.27252996191438
"38",-0.52836000929773,-0.541157436427601,0.012797427129871
"39",-0.329942162599475,-0.312773571929715,-0.0171685906697601
"40",-0.0816664257811137,-0.458672509220828,0.377006083439714
"41",-1.29168571788471,-0.785483451656641,-0.506202266228072
"42",-0.468712265341603,-0.579281227669783,0.11056896232818
"43",-1.2958737844709,-0.686971480302049,-0.608902304168852
"44",-0.947060994557167,-0.702882565287269,-0.244178429269898
"45",-0.439574568882583,-1.73278216623858,1.293207597356
"46",-0.278376650797108,-0.341511348606761,0.0631346978096525
"47",-0.231157984513336,-0.34000546135693,0.108847476843594
"48",-0.647265752155895,-1.03427477084316,0.387009018687265
"49",-0.766186807198217,-0.973723400202996,0.207536593004779
"50",-0.336793263125921,-0.368685980413181,0.0318927172872598
"51",-1.05694800771813,-1.03873906045414,-0.0182089472639912
"52",-0.274053448067226,-0.902977235185414,0.628923787118188
"53",-1.76414323602685,-1.53353761973157,-0.230605616295277
"54",-0.246377145386413,-0.641999391169109,0.395622245782696
"55",-0.586112263846438,-1.00820754225334,0.422095278406899
"56",-0.269560671250602,-0.356806312494795,0.0872456412441931
"57",-0.425261017615997,-0.460770668249796,0.0355096506337995
"58",-0.192450573882621,-0.763376048353427,0.570925474470807
"59",-0.779576859803732,-0.630417234314733,-0.149159625488998
"60",-0.193664261690737,-0.627597897076905,0.433933635386168
"61",-0.434377251682695,-0.487402905851269,0.0530256541685743
"62",-1.41067825237665,-0.606292073389337,-0.804386178987311
"63",-1.15531262122035,-0.524385626234326,-0.630926994986027
"64",-0.3674952664418,-0.483804375946537,0.116309109504737
"65",-0.77561718532772,-0.888093497789841,0.112476312462121
"66",-0.322758408347674,-0.490345936526363,0.167587528178688
"67",-1.07402125914245,-1.20965525853593,0.13563399939348
"68",-0.266201296664134,-0.869795866095903,0.603594569431769
"69",-0.50054577191541,-0.913451779878094,0.412906007962684
"70",-0.424896359521976,-0.830327224416464,0.405430864894488
"71",-0.504542193486318,-0.830327224416464,0.325785030930145
"72",-0.282493674160019,-0.265604200812573,-0.0168894733474456
"73",-0.23376155840351,-0.687874491115979,0.454112932712469
"74",-1.27110968741165,-0.869795866095903,-0.401313821315751
"75",-0.297963680083079,-0.320622381305435,0.0226587012223556
"76",-0.425261017615997,-0.829985141197382,0.404724123581386
"77",-0.656280616439746,-0.650371979413907,-0.00590863702583899
"78",-1.1466243411945,-1.18930894840287,0.042684607208372
"79",-0.585085678521565,-0.581600348025786,-0.0034853304957787
"80",-0.326708676413269,-0.410242687337529,0.0835340109242608
"81",-1.20696941714914,-1.29252430675267,0.0855548896035359
"82",-0.665472968011248,-0.6771842503956,0.0117112823843515
"83",-0.171555150410422,-0.375064655615873,0.203509505205451
"84",-0.517003849439101,-0.61989426977594,0.102890420336839
"85",-0.499148477508829,-0.486167429866933,-0.0129810476418957
"86",-0.562866743708428,-1.16567109267874,0.602804348970309
"87",-0.796949646760637,-0.726301593396084,-0.070648053364553
"88",-0.27252605480931,-0.925751569427395,0.653225514618085
"89",-1.75601074063491,-0.454642654027786,-1.30136808660713
"90",-0.564302662498915,-1.28750586261614,0.723203200117227
"91",-0.947865620479109,-0.54302814145827,-0.40483747902084
"92",-0.599113576561098,-1.12105514899118,0.521941572430078
"93",-0.92477850949155,-0.302975001398083,-0.621803508093468
"94",-0.240893483575235,-0.4143651062125,0.173471622637265
"95",-0.147880070018395,-0.324675487606894,0.176795417588499
"96",-0.333814620162446,-0.377745514868285,0.0439308947058388
"97",-0.351587653616071,-0.276946351219239,-0.0746413023968318
