"elpd_total","elpd_relevant","elpd_diff"
-7.88983731560371,-7.8737738753297,0.0160634402740101
-10.0357043261253,-9.87248789880859,0.163216427316726
-8.24803961214966,-8.24528438267541,0.00275522947424278
-10.9503082633106,-11.2197985234148,-0.269490260104254
-8.15135771400705,-8.14728098030388,0.00407673370316708
-8.1181891787437,-8.13479698204104,-0.0166078032973331
-8.20418983051538,-8.19120649427758,0.0129833362377969
-7.78908783683546,-7.70747721990629,0.0816106169291659
-10.5920974675606,-10.3470254969267,0.245071970633811
-7.7274365476674,-7.85662478197497,-0.129188234307574
-7.79436773324526,-7.80826485872159,-0.0138971254763298
-9.9113091464709,-9.89057329329582,0.0207358531750774
-8.37260650992154,-8.31694497642963,0.0556615334919055
-7.90847987930614,-7.89546304782121,0.0130168314849302
-9.89967837737191,-10.0221721473849,-0.122493770012944
-7.81777091805533,-7.79036660308895,0.0274043149663763
-8.4678916264447,-8.44217029179913,0.025721334645576
-7.76380072195949,-7.74718531485577,0.0166154071037194
-7.9521221271733,-7.9411155460968,0.0110065810765052
-8.39043330550355,-8.34930091585894,0.0411323896446056
-7.67034713625303,-7.75967006196118,-0.0893229257081476
-9.29996926550631,-9.32619367113253,-0.026224405626218
-8.00995991476193,-8.01532587032067,-0.00536595555874442
-7.96015598374407,-7.9716299724775,-0.0114739887334219
-7.71870025552229,-7.71287639127081,0.0058238642514814
-7.73246791911897,-7.83309915066701,-0.10063123154804
-8.3720235797185,-8.34645059948343,0.0255729802350704
-7.72743767260865,-7.66810080113436,0.0593368714742857
-7.87280320741706,-7.91219238935778,-0.0393891819407228
-7.77758746924057,-7.75799364604133,0.0195938231992443
-10.7162334605711,-10.813041825008,-0.096808364436912
-10.5514401399028,-10.7263088502891,-0.174868710386308
-9.62761520818306,-9.75660499270929,-0.12898978452623
-7.95458073029048,-7.91424966200296,0.0403310682875215
-8.20906974756121,-8.20681126383061,0.00225848373060344
-7.95154106789787,-7.85596380258911,0.095577265308755
-10.2307934372978,-10.3004310179795,-0.0696375806817535
-7.92289800667662,-7.93114323869327,-0.00824523201665528
-7.9592874621477,-7.91794461889944,0.0413428432482625
-9.17281419474273,-9.27835139056918,-0.105537195826454
-7.8552699335891,-7.73529800363589,0.119971929953214
-8.51125274940705,-8.52116371560223,-0.00991096619517506
-8.30640443418917,-8.32536427544649,-0.0189598412573222
-9.20925679315564,-9.09459802165343,0.114658771502208
-8.78970261021309,-8.70865161945603,0.081050990757058
-7.92249472249486,-7.8624222242839,0.0600724982109577
-7.97164401674027,-8.0015959573348,-0.0299519405945343
-9.51236496358262,-9.42963455473364,0.0827304088489846
-7.9195680469216,-8.00700254924847,-0.0874345023268619
-9.24714015552821,-9.03134743425422,0.215792721273996
-8.90608626002635,-8.96217755098542,-0.0560912909590705
-8.1126439387615,-7.90795523556566,0.204688703195848
-8.02726700380119,-8.02630374498224,0.00096325881894721
-8.19904909164814,-8.24944925631128,-0.0504001646631433
-9.12922847862613,-9.21284646072424,-0.0836179820981116
-7.96301217272117,-8.03467601615929,-0.0716638434381167
-7.95975783154392,-7.82265055761467,0.137107273929248
-8.71251745864698,-8.75922233455075,-0.0467048759037709
-8.27596452000149,-8.29172346735908,-0.0157589473575861
-9.14371159174612,-9.10199783988059,0.0417137518655242
-8.43376548656972,-8.45009000567661,-0.0163245191068935
-9.33260302911605,-9.35535859351986,-0.0227555644038091
-8.60722390983951,-8.62608685204999,-0.0188629422104789
-9.21579796475897,-9.32234688362841,-0.106548918869439
-9.44114015099336,-9.47567741943,-0.0345372684366403
-9.37465861241524,-9.39749370473977,-0.0228350923245344
-9.20871624456611,-9.31786692419596,-0.10915067962986
-8.70641611196802,-8.56878535088505,0.137630761082972
-9.89953090683129,-9.93046146234179,-0.0309305555105048
-8.39477549645657,-8.32668035307355,0.0680951433830135
-9.66525010993281,-9.73168747987415,-0.0664373699413403
-10.2884946581339,-10.22830236724,0.0601922908938732
-8.84149167525689,-9.11581765746275,-0.274325982205863
-8.68560152996017,-8.70910547201811,-0.0235039420579319
-9.63949980103028,-9.68020619200687,-0.0407063909765899
-9.18683097551042,-9.09750192843364,0.0893290470767845
-10.3056978224975,-10.2237313249239,0.0819664975736174
-9.60637279610303,-9.65619816250976,-0.0498253664067327
-8.62637415317926,-8.7314106910911,-0.105036537911836
-8.53178819027326,-8.50840769587558,0.0233804943976867
-10.311460094139,-10.4421418839189,-0.130681789779908
-9.07214017343048,-9.10826333869647,-0.036123165265991
-8.42153502964636,-8.42253090911475,-0.000995879468387528
-8.36118310860592,-8.40574931632801,-0.0445662077220845
-8.38243040515192,-8.35520082623009,0.0272295789218298
-8.6242462065592,-8.61794665350889,0.00629955305031338
-8.69165551933636,-8.70459723063212,-0.0129417112957633
-8.66186469181612,-8.67612462628518,-0.014259934469063
-8.58905331980654,-8.64492504103013,-0.0558717212235873
-8.81876391446577,-8.86138860447031,-0.0426246900045424
-8.48913425833796,-8.46310440964644,0.0260298486915183
-9.01382954014393,-9.0096735665046,0.00415597363933884
-8.3711727963105,-8.36808176081352,0.00309103549697198
-9.17604471434528,-9.1219465910861,0.0540981232591875
-9.31127547773045,-9.16087139175943,0.150404085971022
-9.31879872055722,-9.30456166545406,0.0142370551031572
-9.71906010719543,-9.70527198047435,0.0137881267210815
-8.46641413352545,-8.37192301957711,0.0944911139483455
-9.65425262286716,-9.45941557648862,0.194837046378545
-9.12635215338506,-9.03929276685586,0.0870593865291962
-9.48569918370974,-9.3328160240387,0.152883159671047
-8.81043964472251,-8.81698267256729,-0.00654302784478666
