"comparison","elpd_difference","standard_error"
"recency_vs_true",-2.49715604666368,1.57740884467619
"qlearning_vs_true",-10.2747860684398,4.20891437315171
"qlearning_vs_recency",-7.77763002177616,3.60444158238499
