"comparison","parameter","estimate","error","ci_50_lower","ci_50_upper","ci_80_lower","ci_80_upper","ci_95_lower","ci_95_upper"
"X","Intercept",62.0525248566168,3.26601821095886,59.9218676310455,64.1904560211705,57.8923380285172,66.1396870035481,55.5000056843079,68.3959355783487
"overall_before_vs_last_after","Intercept",0.157460028817318,0.0428033634281309,0.128470087098534,0.185726315978203,0.102519382145735,0.212260036853259,0.0723777418598667,0.2419390428222
"overall_after_vs_last_after","Intercept",-0.128725977950285,0.042720787551474,-0.156858601085042,-0.100482241658256,-0.181628734326829,-0.0746443233166069,-0.211980778361538,-0.0452952686876255
"overall_before_vs_last_before_unexpected","Intercept",0.140511725027665,0.0522770045057858,0.106064725716598,0.17372247387844,0.0748629937531503,0.206398948925012,0.0365272651886967,0.244197253521658
"overall_before_vs_last_before_expected","Intercept",-0.0703927089022239,0.0660724700248123,-0.114203767527187,-0.025821366615942,-0.153285658720592,0.0143042270172027,-0.201566675769991,0.0602347779475192
"overall_after_vs_last_before_unexpected","Intercept",-0.0185191784956837,0.0445469814089291,-0.0481226544800763,0.0104097799326675,-0.0754539996215977,0.0381985427131916,-0.105545090788423,0.0711572318846809
"overall_after_vs_last_before_expected","Intercept",-0.23033623998035,0.0588285026649533,-0.270305338415081,-0.190039182513088,-0.306124219013155,-0.156134691964599,-0.345586374658903,-0.114581971050247
