"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta_mu[1]",0.422323222873635,0.00143108686431478,0.0996624305118921,0.224334408987944,0.355399476377848,0.42226874472917,0.490289789121643,0.615963215246054,4849.87960576448,0.99920670368938
"beta_mu[2]",0.142396787519573,0.000753014118358305,0.0358020078872762,0.0772490859818946,0.11824473984052,0.141117391343356,0.16567718314857,0.217074436048496,2260.52091687177,1.00069640362159
"tau_unif[1]",0.0708961590675131,0.00132651693242613,0.0500382294457238,0.00338681237233003,0.0302333461082086,0.0614674554262221,0.102948509271081,0.18654818357569,1422.91275540098,1.00244154323882
"tau_unif[2]",0.0656435681910759,0.000476330775125939,0.0177325838977085,0.0316405124430755,0.053886987228926,0.0652434352555837,0.0768563735880838,0.101428497972545,1385.88362485892,1.00146221403365
"Lcorr[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"Lcorr[1,2]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr[2,1]",0.165272622417904,0.0191169851284152,0.408575268116113,-0.69585353010203,-0.1155969611479,0.200606349300451,0.484923640794299,0.843742669417369,456.778174077091,1.01010019430036
"Lcorr[2,2]",0.887846742253347,0.00478609357682489,0.132383864735901,0.512650750289997,0.833824326932832,0.938876356872743,0.986119951210261,0.999818838065594,765.081568824974,1.0041515096619
"z[1,1]",-0.072465886836317,0.0228260688379559,0.994627737624444,-1.96782123929802,-0.770017647746993,-0.0912153146305933,0.588884687652179,1.93574058646576,1898.71109220554,1.00256960359941
"z[1,2]",-0.131114498047637,0.0195834745405589,0.958139339726608,-1.97196523990242,-0.796051532567511,-0.138516389572658,0.476040035808926,1.85099931644005,2393.74480357783,0.999864218063815
"z[1,3]",0.441218404988264,0.0212733391915342,0.979371146153661,-1.54218402861792,-0.215631956609104,0.474306139116835,1.10185042561682,2.29641390237651,2119.45051084941,1.00307597478078
"z[1,4]",-0.0753444206381941,0.0136916053929676,0.932201175578652,-1.91680978122006,-0.706844849626946,-0.0738947780074318,0.519920432385051,1.8145096936324,4635.64900130768,0.999693776049031
"z[1,5]",-0.0977457881041205,0.0159419340462572,0.957301845515361,-1.98116705949894,-0.745758201510824,-0.0869727913954685,0.550005961409862,1.80639136369064,3605.91741641621,1.00035143148325
"z[1,6]",-0.47567388666603,0.0392674880987208,1.19638768107083,-2.75144307947208,-1.32409203945022,-0.524658576714385,0.343862413419121,1.91131292518194,928.277071612374,1.005410016958
"z[1,7]",0.165448597038713,0.0250195691104231,1.02839368406184,-1.84693859711888,-0.533637300824054,0.171154586394517,0.866872850954695,2.1275244894696,1689.50370910482,1.00201719051906
"z[1,8]",2.2139216599724e-05,0.0220319717937993,0.994335557912569,-1.9099415471512,-0.679227397472797,-0.00279045866313937,0.668213424349575,1.9457839505854,2036.85074730856,1.00048181730061
"z[1,9]",0.0217059608233081,0.0231713245943168,1.00871430981067,-1.96533499010289,-0.643593808730026,0.0408222993299097,0.711839729582426,1.94279412167775,1895.110952744,1.00021946247545
"z[1,10]",-0.228629157924956,0.0134134999561957,0.934965523819369,-2.10268695926338,-0.860210838294222,-0.227586678569449,0.391497976057185,1.62706285027586,4858.55327686226,0.999187698011627
"z[1,11]",0.309915584431068,0.0176171098611127,0.969355071550713,-1.61977762317913,-0.349640689433993,0.327692239652542,0.96514474141748,2.20452508826531,3027.5857215814,1.00069638980324
