"model","experiment","mean","lower_95","upper_95","lower_90","upper_90","lower_80","upper_80","dev_mean","dev_lower_95","dev_upper_95","dev_lower_90","dev_upper_90","dev_lower_80","dev_upper_80"
"memory","1A",0.0401668007559642,0.0042544252526086,0.0773318036236981,0.00943278130441647,0.0715369934811018,0.0163947838597675,0.0638728046129551,-0.0016594087528587,-0.033910345056917,0.0318732125409642,-0.0278744763986848,0.026676690400347,-0.0222047028521919,0.0193355757962023
"memory","1B",0.0470902076178383,-0.00180070294621192,0.0969122591484761,0.00516757198385619,0.0880817680836529,0.014059390813524,0.079884892265231,0.00526399810901538,-0.0321604903724219,0.0420993789496059,-0.0263553359781572,0.0358153650765163,-0.0189145254427477,0.0293240827210517
"memory","2",0.0382216201526662,0.00456200115378597,0.0721277114525469,0.0103642711300618,0.0666713945280523,0.0164963730483397,0.0602613163662039,-0.00360458935615668,-0.0336180185073156,0.0265735975227442,-0.0287788387739964,0.0213422793005583,-0.0231798740183579,0.0160561523920398
"rel_only","1A",-0.0618394159536125,-0.0931528233741548,-0.0312326555911252,-0.0878752569975174,-0.0357983846846322,-0.0821062434297976,-0.041477773104171,-0.0320458978336363,-0.0604237712892091,-0.00373176650948196,-0.0553941227781643,-0.00798159305899398,-0.0506376094250116,-0.0137564149825386
"rel_only","1B",-0.0259168127667714,-0.0784347875689691,0.0267753331296117,-0.0705489587436819,0.0192558517922287,-0.060732035006729,0.00943185233848437,0.00387670535320484,-0.0339427998533403,0.0417154186069588,-0.0274381264169958,0.0352505590477322,-0.0202161518248146,0.0285718012188594
"rel_only","2",-0.0016243256395448,-0.0259097319545005,0.0229745481356365,-0.0224526658567321,0.0191532283024894,-0.0178285542013155,0.0148450583968631,0.0281691924804314,0.00159548873109725,0.0538610007121559,0.006265853968351,0.0499063483973821,0.0110637798512908,0.0454039118436783
