"model","parameter","estimate","error","ci_50_lower","ci_50_upper","ci_80_lower","ci_80_upper","ci_95_lower","ci_95_upper"
"speed_acc","b_Intercept",3.55079740767538,0.543077988581684,3.18927102080442,3.92494329112759,2.86451173977803,4.22696790058746,2.50422384594496,4.64240550201842
"speed_acc","b_log_rt",-0.333034779768032,0.0704775667527308,-0.379322943166393,-0.285929410786881,-0.423532057525377,-0.244335884538315,-0.478371686836884,-0.195311185881525
"speed_acc","b_nback_performance_z",0.0476492771746992,0.0960566577045263,-0.0173626399619481,0.113669822441733,-0.074558950043868,0.173114064978744,-0.142776741885523,0.22371135754906
"speed_acc","sd_wid__Intercept",0.723032108501767,0.389060407050007,0.469351939988604,0.911200956887075,0.304107020737992,1.29720313244273,0.0933905852726917,1.67881660724985
"speed_acc","sd_wid__log_rt",0.0576172312622987,0.0442151949809648,0.022654966498607,0.0822961949710632,0.00892892011524567,0.123666691325303,0.00234317295282201,0.168615513708972
"speed_acc","cor_wid__Intercept__log_rt",-0.403640733903826,0.560223824712091,-0.893157822167012,-0.0010857362942427,-0.955513262103458,0.496776299464619,-0.987379650936165,0.856958032388293
"speed_acc","Intercept",1.05085685492473,0.101362310421531,0.980655496924748,1.10908458526023,0.929698152542465,1.18285303285103,0.868582936531861,1.28731643624415
"speed_acc","r_wid[w00c391f,Intercept]",-0.715177998392151,0.682696063974886,-1.05256705787168,-0.258486048267986,-1.611248065378,0.0179348023031536,-2.43756258564245,0.324040662779965
"speed_acc","r_wid[w017e3cd,Intercept]",0.8549886525827,0.753095258950784,0.351200304011821,1.26235998847766,0.0214776685676647,1.75782127152982,-0.335214007814368,2.72630408648018
"speed_acc","r_wid[w06dc745,Intercept]",-0.447483989714047,0.698437522333843,-0.699244180173507,-0.0297963944198007,-1.21907171896356,0.191653840910609,-2.44559841762241,0.666108410242141
"speed_acc","r_wid[w08dda5e,Intercept]",-0.345614731406808,0.577789442163722,-0.649128069501456,0.00161084020837328,-1.04039342201811,0.271560430924004,-1.64646120972823,0.667055761073286
"speed_acc","r_wid[w0c6daff,Intercept]",0.425276792628845,0.636890452351505,0.0163419915358956,0.743270112282979,-0.243848418439284,1.22551600850742,-0.63333978430325,1.84257403921256
"speed_acc","r_wid[w0cf8802,Intercept]",-0.647726617241632,0.749314712774717,-0.925888566756257,-0.169039515909602,-1.60003469394953,0.0602137913684754,-2.77896355253048,0.371992329152731
"speed_acc","r_wid[w0e327f3,Intercept]",0.00175154231013641,0.589998383647856,-0.295431001473104,0.27685925518433,-0.654565085052857,0.666468435518231,-1.21225428185383,1.24466259427092
"speed_acc","r_wid[w15afaeb,Intercept]",0.290736085516214,0.590248849563536,-0.0208444273428267,0.592322685933363,-0.314159170174547,0.955152488646964,-0.920657153494509,1.58620315902853
"speed_acc","r_wid[w161eef2,Intercept]",-0.651596255192048,0.76594459698263,-0.898633975916479,-0.162787032720168,-1.6210301153527,0.0777348684184077,-2.82577233113599,0.360336309564903
"speed_acc","r_wid[w1afb6bd,Intercept]",0.0663357028071005,0.656309521909783,-0.203827222463893,0.377361005720791,-0.625198394696511,0.801197551225901,-1.58916575743433,1.4180819634659
"speed_acc","r_wid[w1efb25c,Intercept]",0.254725506654441,0.678596527581588,-0.058404186553877,0.59361132886369,-0.393281125721242,1.04133534498031,-1.43627445567376,1.72115570320884
"speed_acc","r_wid[w28e335e,Intercept]",0.0881729260883412,0.567680931588251,-0.193919423670471,0.345493818708951,-0.515203878292439,0.693158101808171,-0.998376908884635,1.43934249828328
"speed_acc","r_wid[w2c5d7eb,Intercept]",0.734675439611793,0.79701581437781,0.203665231306322,1.06766338119263,-0.0494376661308151,1.76658683691236,-0.360680303387529,2.9399570790814
"speed_acc","r_wid[w2e9806f,Intercept]",-0.0688313742951807,0.598663667182041,-0.347492445173418,0.232255890623539,-0.752840091324663,0.561486302995975,-1.43663955497788,1.12770790663302
"speed_acc","r_wid[w3067c35,Intercept]",-0.10181231947548,0.574510690290514,-0.415618683288574,0.210679971279043,-0.779589327449357,0.531536752491378,-1.27605537681065,1.07986939100849
"speed_acc","r_wid[w31b7dbe,Intercept]",-0.69025338448981,0.867693515870952,-0.960967871226648,-0.184846912578569,-1.66133255191235,0.0953968135799947,-3.42992709876046,0.523450271419095
